time/total_timesteps,train/entropy_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/value_loss,phase
389120,-6.611164071728126e-05,0.0048900777474045,4.288740456104278e-08,1890.0,0.027872996914084,1
391168,-7.235486946228775e-05,0.001319688744843,-1.0238727554678916e-08,1900.0,0.0228994734012303,1
393216,-6.638904815190472e-05,0.0189082976430654,-1.8451828509569166e-09,1910.0,0.0307596872939029,1
395264,-6.760683509128284e-05,0.0053285411559045,-2.6630004867911342e-08,1920.0,0.0135446021977259,1
397312,-7.166559826146112e-05,0.0092846760526299,-5.977926775813103e-09,1930.0,0.1247057994478382,1
399360,-8.16450681668357e-05,0.0043617310002446,-5.952315405011177e-08,1940.0,0.0222736313615314,1
401408,-7.81066708441358e-05,0.0091925514861941,-5.259062163531781e-09,1950.0,0.0921415521108428,1
403456,-8.028188212847454e-05,0.0014119913103058,-1.604523276910186e-07,1960.0,0.0289193310003611,1
405504,-8.156324274750659e-05,0.0792291164398193,-5.0442758947610856e-08,1970.0,0.08924419056857,1
407552,-7.836529512132984e-05,0.0205420274287462,-1.95519533008337e-08,1980.0,0.0234485706412669,1
409600,-8.003212851690478e-05,0.0065250983461737,7.345806807279587e-09,1990.0,0.1466862826491706,1
411648,-9.422561324754498e-05,0.0011108020553365,-4.9726804718375203e-08,2000.0,0.0233896324250963,1
413696,-8.261456441687187e-05,0.0664065703749656,-1.5908153727650643e-08,2010.0,0.1276305815961677,1
415744,-7.425262983815629e-05,0.0115114189684391,1.4901161193847655e-09,2020.0,0.0437562452614656,1
417792,-9.347325903945604e-05,0.0978440642356872,-4.8603396862745285e-09,2030.0,0.0656674741272581,1
419840,-8.48270478854829e-05,0.0009126691729761,-2.0780134946107864e-08,2040.0,0.0080243335949489,1
421888,-6.460318049903436e-05,0.0148093337193131,-0.0007037190312985,2050.0,0.0228700903302524,1
423936,-5.1572146412581786e-05,0.0838900357484817,-6.402842700481415e-11,2060.0,0.0971706265059765,1
425984,-5.242213746896596e-05,0.0744998678565025,-9.313225746154786e-11,2070.0,0.2337777192005887,1
428032,-5.6258680297105455e-05,0.0127822076901793,-1.686566974967718e-08,2080.0,0.0207106092158937,1
430080,-5.9838593278982445e-05,0.0086192358285188,2.821616362780333e-08,2090.0,0.011349290144426,1
432128,-5.696802140846558e-05,0.0038630771450698,4.889443516731261e-10,2100.0,0.033306114586594,1
434176,-5.172547639631375e-05,0.0696542263031005,2.5611370801925656e-10,2110.0,0.163682590436656,1
436224,-4.855282995777088e-05,0.0030366382561624,-1.7083948478102683e-09,2120.0,0.0127140539174433,1
438272,-6.170776628096064e-05,0.0107453139498829,-4.4179614633321765e-09,2130.0,0.0319090127421077,1
440320,-5.136535482961335e-05,0.0198722071945667,-1.4028046280145644e-09,2140.0,0.0488706356743932,1
442368,-5.377456582209561e-05,0.0090051759034395,2.7357600629329677e-10,2150.0,0.0689391113395686,1
444416,-6.02248331233568e-05,0.0047181630507111,1.7316779121756552e-09,2160.0,0.0235345322289504,1
446464,-5.9509845823413346e-05,0.0073321647942066,-7.543712854385376e-09,2170.0,0.055551181048213,1
448512,-5.604186753771501e-05,0.0147808827459812,-1.338921720162034e-08,2180.0,0.0274813276308123,1
450560,-5.767303500761045e-05,0.0016913579311221,-2.331507857888937e-08,2190.0,0.0164248205670446,1
452608,-5.536246494557418e-05,0.0037777810357511,1.32131390273571e-09,2200.0,0.0369897518372454,1
454656,-5.207417912060919e-05,0.0060681346803903,-2.741580829024315e-09,2210.0,0.0341817446489585,1
456704,-6.002916102261224e-05,0.003630096791312,-9.42964106798172e-10,2220.0,0.0213238993339473,1
458752,-5.850110092069372e-05,0.0162849705666303,-1.0880467016249896e-08,2230.0,0.0432835372455883,1
460800,-5.5259059172385606e-05,0.0098969405516982,1.1146767064929008e-09,2240.0,0.0443218151805922,1
462848,-6.335150101222098e-05,0.0466293320059776,5.704350769519805e-10,2250.0,0.0680707200968754,1
464896,-6.347383869069745e-05,0.0153666408732533,-1.0244548320770262e-09,2260.0,0.0795045421124086,1
466944,-5.671486633218592e-05,0.0051033627241849,2.2206222638487815e-09,2270.0,0.0284175610902821,1
468992,-5.867791469427175e-05,0.0037747356109321,5.948822945356369e-09,2280.0,0.0129404301846079,1
471040,-6.43052687337331e-05,0.0631612464785575,1.162406988441944e-08,2290.0,0.0705259666283382,1
473088,-6.291635054367362e-05,0.0101172067224979,-1.964508555829525e-09,2300.0,0.0298238494986435,1
475136,-5.6563108682894383e-05,0.007913545705378,-6.309710443019867e-09,2310.0,0.0149418024859187,1
477184,-6.24639360466972e-05,0.0054329107515513,-1.3374665286391974e-08,2320.0,0.0204026799423445,1
479232,-6.0331085887810334e-05,0.0272477082908153,1.2863893061876298e-09,2330.0,0.1867671817017253,1
481280,-5.505449930751638e-05,0.0044491179287433,-2.031447365880012e-09,2340.0,0.1027824431002955,1
483328,-6.597983074243529e-05,0.0116836028173565,-2.3281609173864128e-08,2350.0,0.0221393358820932,1
485376,-6.540941503772047e-05,0.0256980825215578,-7.689232006669044e-09,2360.0,0.0453817552115651,1
487424,-6.367553123709513e-05,0.0393180809915065,-7.770722731947899e-10,2370.0,0.0258511219733918,1
489472,-6.603673664358211e-05,0.0727536529302597,1.6763806343078612e-09,2380.0,0.0793819327664095,1
491520,-6.787882739445195e-05,0.0498056523501873,-4.074536263942718e-09,2390.0,0.1025943671789718,1
493568,-5.83190922952781e-05,0.1306060254573822,5.471520125865935e-10,2400.0,0.1271872145764064,1
495616,-6.505008177555282e-05,0.0098989969119429,-4.569301381707191e-10,2410.0,0.0220236069595557,1
497664,-6.000590883559198e-05,0.0004589790478348,-5.54427970200777e-09,2420.0,0.0783816935829236,1
499712,-6.533230107379495e-05,0.0071906759403645,9.807990863919259e-10,2430.0,0.0528165788397018,1
501760,-6.86364657667582e-05,0.0049092518165707,-1.6858393792062998e-08,2440.0,0.0210651681805757,1
503808,-7.322770825339831e-05,0.0020165983587503,-1.1701922630891204e-08,2450.0,0.01141289326697,1
505856,-6.915242402101285e-05,0.0021227798424661,-4.48198989033699e-09,2460.0,0.0079046768776606,1
507904,-7.124575513444143e-05,0.0019298279657959,-7.344351615756751e-09,2470.0,0.0230669983265215,1
509952,-7.476452110495302e-05,0.0074855196289718,-3.3990363590419295e-08,2480.0,0.0111174937157102,1
512000,-7.2543547321402e-05,0.0041490043513476,1.8044374883174894e-10,2490.0,0.0135015126087637,1
514048,-7.11992595824995e-05,0.0555653572082519,-1.3955286704003812e-09,2500.0,0.1125966524123214,1
516096,-7.054708285068046e-05,0.053419355303049,-9.080395102500915e-10,2510.0,0.0999335156520828,1
518144,-7.772103062961833e-05,0.121616244316101,-5.005858838558197e-10,2520.0,0.1636399992799852,1
520192,-7.461879213224165e-05,0.017234506085515,-2.65135895460844e-09,2530.0,0.0176563783110395,1
522240,-7.511008325309377e-05,0.0030182250775396,-2.695596776902676e-08,2540.0,0.0064822194723092,1
524288,-8.059747260631411e-05,0.0048842094838619,3.608874976634979e-10,2550.0,0.0876458586251828,1
526336,-7.519941982536693e-05,0.0472377352416515,6.111804395914078e-10,2560.0,0.063949030675576,1
528384,-8.010756437215605e-05,0.0026805789675563,-1.0081566870212554e-08,2570.0,0.0217132777434017,1
530432,-7.833893505448941e-05,0.0124429604038596,4.94765117764473e-10,2580.0,0.1090512282775307,1
532480,-7.807716337993043e-05,0.0118813030421733,-2.2351741790771484e-09,2590.0,0.0753385887350304,1
534528,-5.343692814676615e-05,0.0104421358555555,-0.0008632195385871,2600.0,0.0652941905544139,1
536576,-4.857103558606468e-05,0.0263907983899116,-2.576416591182351e-09,2610.0,0.0373671808803919,1
538624,-4.902981245322735e-05,0.0027840905822813,2.5727786123752596e-09,2620.0,0.0151024544757092,1
540672,-4.943230155731726e-05,0.0033594525884836,6.6385837271809585e-09,2630.0,0.0133404575732129,1
542720,-5.0789226042979864e-05,0.0013797574210911,-2.8376234695315356e-10,2640.0,0.0283863222044601,1
544768,-4.902647651761072e-05,0.0040167672559618,-8.242204785346985e-09,2650.0,0.0168074709720713,1
546816,-5.05061698731879e-05,0.0004792301042471,-1.0163057595491409e-08,2660.0,0.0129424749033205,1
548864,-5.036606899011531e-05,0.0035549500025808,-1.05355866253376e-08,2670.0,0.0062656075277118,1
550912,-4.951323085151671e-05,0.066419169306755,-1.6880221664905546e-09,2680.0,0.0570081439102068,1
552960,-5.1170061806260494e-05,0.0057459734380245,-9.11386450752616e-09,2690.0,0.0156905258118058,1
555008,-4.952923400196596e-05,0.0211763121187686,1.880107447504997e-09,2700.0,0.058148272116523,1
557056,-5.171231623535277e-05,0.0158583857119083,1.0128132998943328e-09,2710.0,0.015475480657551,1
559104,-5.260219295450952e-05,0.0007453970611095,-3.486638888716697e-09,2720.0,0.0106514544577294,1
561152,-5.226242624303268e-05,0.0422662943601608,4.0046870708465575e-09,2730.0,0.0850386722479015,1
563200,-4.0111626594807605e-05,0.0056509692221879,-0.0008096232835669,2740.0,0.0259766934890649,1
565248,-3.7792413650095114e-05,0.0005265632062219,-5.037873052060604e-09,2750.0,0.0125693445988872,1
567296,-3.795927609644423e-05,0.0365855358541011,-5.617039278149605e-10,2760.0,0.0360765822108078,1
569344,-3.7344898464652944e-05,0.0110409315675497,-2.278829924762249e-09,2770.0,0.0139285201348684,1
571392,-3.7923128593320145e-05,0.0113696586340665,6.984919309616089e-11,2780.0,0.0241176317053032,1
573440,-3.8084376910774154e-05,0.0130587499588727,2.1129380911588667e-09,2790.0,0.0125053847408707,1
575488,-3.8444724123110066e-05,0.0176455676555633,-1.1641532182693479e-10,2800.0,0.05555827235803,1
577536,-3.772215609387786e-05,0.0252382718026638,-1.2014061212539672e-08,2810.0,0.0175336638805674,1
579584,-3.7108302512933734e-05,0.0078341327607631,-2.270098775625229e-09,2820.0,0.0068821785906038,1
581632,-3.714987105922774e-05,0.0060221566818654,2.171145752072334e-09,2830.0,0.0261684307582072,1
583680,-3.813717794400873e-05,0.0041786264628171,1.9208528101444243e-10,2840.0,0.0446609525039093,1
585728,-4.2202685926895354e-05,0.0804425105452537,7.229391485452652e-09,2850.0,0.2128216854296624,1
587776,-3.892591048497707e-05,0.0096691893413662,-1.069856807589531e-08,2860.0,0.0497770727699389,1
589824,-3.8032040538382714e-05,0.0020221380982548,-1.478474587202072e-09,2870.0,0.0219558123069873,1
591872,-3.762161304621259e-05,0.0262741409242153,-1.7345882952213286e-09,2880.0,0.0380933487889706,1
593920,-3.8348874022631206e-05,0.0001329551887465,-5.326000973582268e-10,2890.0,0.0469850396919355,1
595968,-5.029828321312379e-05,0.0075999414548277,-7.615890353918076e-08,2900.0,0.0080416000506374,1
598016,-3.9487210278821296e-05,0.0084512252360582,-5.5663986131548886e-08,2910.0,0.0334716318713617,1
600064,-4.1825862535915806e-05,0.0270899962633848,1.0477378964424131e-09,2920.0,0.0522108243589173,1
602112,-4.787745133398858e-05,0.0847028419375419,-3.2676325645297763e-09,2930.0,0.0971463153080549,1
604160,-3.822292287622986e-05,0.068057857453823,-2.9976945370435717e-10,2940.0,0.054578749819484,1
606208,-4.263273581273097e-05,0.0012655558530241,-1.8063292372971772e-08,2950.0,0.023931857084699,1
608256,-4.16452403896983e-05,0.0075784688815474,-3.620516508817673e-09,2960.0,0.0121513270505602,1
610304,-4.579154065140756e-05,0.1101459860801696,1.0564690455794334e-09,2970.0,0.0666106621938524,1
612352,-3.7480677838175326e-05,0.0035529548767954,3.815512172877788e-09,2980.0,0.0186311139375902,1
614400,-3.857535225506581e-05,0.0043837297707796,-3.230525180697441e-09,2990.0,0.0092469419339977,1
616448,-4.139334619139845e-05,0.0719499364495277,1.9092112779617308e-09,3000.0,0.1106018342616153,1
618496,-4.0596690496386145e-05,0.0176003649830818,-1.8044374883174894e-09,3010.0,0.0474087657348718,1
620544,-4.269388459761103e-05,0.0208079162985086,-2.860906533896923e-09,3020.0,0.058601957040264,1
622592,-4.391740685605328e-05,0.0124231791123747,-5.617039278149605e-10,3030.0,0.0952470969859859,1
624640,-3.8605966574323246e-05,0.0031069992110133,4.685716703534127e-10,3040.0,0.0562683587748324,1
626688,-4.359443705652666e-05,0.0791272968053817,-4.48198989033699e-10,3050.0,0.1008190924374503,1
628736,-4.160882999713067e-05,0.0122128594666719,-7.8580342233181e-09,3060.0,0.0332818138449511,1
630784,-4.795475460923626e-05,0.0016512107104063,-8.09086486697197e-10,3070.0,0.0793730130593758,1
632832,-4.299073066249548e-05,0.0582275167107582,4.695903044193983e-09,3080.0,0.0551412862263532,1
634880,-3.94899920138414e-05,0.0950733348727226,-1.84809323400259e-10,3090.0,0.1401111353421583,1
636928,-4.241637329869263e-05,0.0115520460531115,4.286994226276875e-09,3100.0,0.0641766931104939,1
638976,-4.830258699257683e-05,0.0021349389571696,-6.984919309616089e-09,3110.0,0.06658821597739,1
641024,-3.90073747439601e-05,0.0364541374146938,-8.978531695902347e-10,3120.0,0.1625064921565354,1
643072,-4.005819901067298e-05,0.008913786150515,3.055902197957039e-10,3130.0,0.0561072457094269,1
645120,-4.382009283290245e-05,0.021161550655961,3.14321368932724e-10,3140.0,0.0483450889485538,1
647168,-4.768792978211422e-05,0.0037365886382758,1.525040715932846e-09,3150.0,0.0126243277340108,1
649216,-4.6162269109117914e-05,0.0045231194235384,-3.422610461711883e-09,3160.0,0.0106950969391618,1
651264,-5.5256875202758235e-05,0.0073479590937495,-2.5122426450252538e-08,3170.0,0.0104769650518846,1
653312,-4.014402793472982e-05,0.0025204895064234,4.062894731760025e-09,3180.0,0.0206438551182145,1
655360,-5.1837068576787713e-05,0.0018570980755612,1.8218997865915299e-09,3190.0,0.0095843454374971,1
657408,-4.823685026167368e-05,0.0115753915160894,1.0244548320770262e-09,3200.0,0.0414165297930594,1
659456,-4.246364851496764e-05,0.0016736211255192,1.5425030142068862e-10,3210.0,0.0456394940119935,1
661504,-4.551825559246936e-05,0.0442359969019889,-2.4563632905483248e-09,3220.0,0.1636306307045743,1
663552,-4.4101252115069656e-05,0.0298358183354139,-3.0850060284137725e-10,3230.0,0.0306923132839074,1
665600,-5.924494803366542e-05,0.0088936518877744,-3.5739503800868983e-09,3240.0,0.0503868357118335,1
667648,-5.4244106377154824e-05,0.0013108423445373,-3.1577656045556067e-10,3250.0,0.0201483459954033,1
669696,-4.5320186200115134e-05,0.0023339933250099,6.767731974832713e-09,3260.0,0.0286918608891937,1
671744,-5.9390246315160765e-05,0.0162915550172328,4.2491592466831206e-10,3270.0,0.036122500501915,1
673792,-5.630972091239528e-05,0.0038577187806367,-1.9150320440530776e-09,3280.0,0.014799405684289,1
675840,-5.775785953119339e-05,0.0005304345395416,-1.052685547620058e-08,3290.0,0.0306991795747308,1
677888,-5.8948888363374866e-05,0.0037047222722321,-1.9557774066925052e-08,3300.0,0.0114340148124028,1
679936,-4.7743705681568824e-05,0.0348133035004138,8.614733815193177e-10,3310.0,0.1221016420633532,1
681984,-6.045952254680742e-05,0.0745149403810501,2.2118911147117614e-10,3320.0,0.101995351962978,1
684032,-5.198214471420215e-05,0.0724136009812355,-1.3416865840554238e-09,3330.0,0.1662759836995974,1
686080,-5.8208320933772487e-05,0.0043915198184549,-5.052424967288971e-09,3340.0,0.142518118325097,1
688128,-6.203557527442171e-05,0.0092235635966062,1.8626451492309571e-10,3350.0,0.0411410805394552,1
690176,-5.556236073971377e-05,0.0025849947705864,-2.0954757928848267e-10,3360.0,0.0306507953093387,1
692224,-5.060025946477253e-05,0.0056840158067643,2.601882442831993e-09,3370.0,0.0190499495671247,1
694272,-7.015770770522068e-05,0.0015730579616501,-3.853347152471542e-09,3380.0,0.0300009420738206,1
696320,-5.969939179522044e-05,0.0001120110464398,-2.5874760467559098e-08,3390.0,0.0166807136150964,1
698368,-5.206238133723673e-05,0.0006323189591057,-1.3469252735376358e-08,3400.0,0.0007076310698721,1
700416,-4.729958918687771e-05,0.0124813774600625,-8.207280188798904e-09,3410.0,0.1334372858691495,1
702464,-6.255590842556558e-05,0.00100674550049,-1.998268999159336e-08,3420.0,0.0077491072290285,1
704512,-5.829180863656802e-05,0.0018827196909114,-2.0477455109357838e-08,3430.0,0.009876535382682,1
706560,-5.327412059159542e-05,0.0091226389631628,5.413312464952468e-10,3440.0,0.0286733826185809,1
708608,-5.047483564339928e-05,0.0261754151433706,-7.910421118140221e-09,3450.0,0.035513827822433,1
710656,-5.8202488617098425e-05,0.1059238612651825,-6.507616490125656e-09,3460.0,0.1573418596701231,1
712704,-5.675134593730036e-05,0.0249676816165447,-1.7113052308559418e-08,3470.0,0.0603626335170702,1
714752,-5.4570874681303394e-05,0.0581078976392746,8.17817635834217e-10,3480.0,0.0889280203104135,1
716800,-5.763384410784056e-05,0.0367461889982223,8.818460628390311e-10,3490.0,0.0639018488844158,1
718848,-6.021720560056565e-05,0.0073164710775017,-1.1362135410308836e-08,3500.0,0.0101132307769148,1
720896,-5.832387796544936e-05,0.0245340634137392,4.656612873077393e-10,3510.0,0.1669844672782346,1
722944,-6.243490165616094e-05,0.0591402724385261,-3.5586708690971134e-09,3520.0,0.0924323832587106,1
724992,-4.877679348282982e-05,0.0273467916995286,-6.829213816672564e-09,3530.0,0.0488033895270746,1
727040,-5.565901738009415e-05,0.0050134910270571,-4.913454176858067e-09,3540.0,0.0329340459458762,1
729088,-5.19529402936314e-05,0.0170727167278528,-9.662471711635591e-09,3550.0,0.0258217415081162,1
731136,-7.287261969395331e-05,0.0263977013528347,-1.2351665645837785e-08,3560.0,0.0398248426219652,1
733184,-5.504103337443667e-05,0.0266114957630634,3.96394170820713e-09,3570.0,0.0533161440180265,1
735232,-7.963550451677293e-05,0.0072815874591469,-3.642344381660223e-09,3580.0,0.0147595821848881,1
737280,-5.082936390863324e-05,0.0035943270195275,-1.7200363799929621e-09,3590.0,0.0183106533496811,1
739328,-6.0823581316071794e-05,0.045294314622879,-7.508788257837296e-10,3600.0,0.0600169048964744,1
741376,-5.4965177696431056e-05,0.0100326733663678,-2.3865140974521635e-10,3610.0,0.0295473382895579,1
743424,-7.064238216116791e-05,0.0049711684696376,-7.905764505267145e-08,3620.0,0.0080112466901482,1
745472,-7.386795350612374e-05,0.0112325465306639,-2.043088898062706e-09,3630.0,0.0220039105603063,1
747520,-5.174846678528411e-05,0.0179149247705936,3.044260665774345e-09,3640.0,0.0440876588123501,1
749568,-6.612850002056803e-05,0.0860054045915603,-8.905772119760513e-10,3650.0,0.0902947550057433,1
751616,-5.3270431271812414e-05,0.0016968025593087,-1.162406988441944e-08,3660.0,0.0105377138195763,1
