rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_range,phase,phase_learning_rate_start,phase_learning_rate_end
-2.8,0.0,360448,1497,176,240,256.0,0.0252975441744638,1750.0,0.0,0.0,0.0002103999999999,0.723513126373291,-1.7025740817189215e-09,0.0451096929609775,-0.0001535186291221,0.2,1,0.0003,5e-05
-2.6,0.0,362496,1506,177,240,256.0,0.0328307485840923,1760.0,0.0,0.0,0.0002098879999999,0.7813045978546143,-1.219683326780796e-07,0.0102483881637454,-0.0001605423401997,0.2,1,0.0003,5e-05
-2.64,0.0,364544,1515,178,240,256.0,0.0109909540522494,1770.0,0.0,0.0,0.0002093759999999,0.8345499038696289,-5.529727786779404e-10,0.0230659320950508,-0.0001552941148474,0.2,1,0.0003,5e-05
-2.64,0.0,366592,1524,179,240,256.0,0.0980165981149184,1780.0,0.0,0.0,0.0002088639999999,0.5262000560760498,1.938315108418464e-09,0.0271270554512739,-0.0001568692274304,0.2,1,0.0003,5e-05
-2.6,0.0,368640,1533,180,240,256.0,0.0366244075237773,1790.0,0.0,0.0,0.0002083519999999,0.692195475101471,6.053596735000611e-10,0.0383309312164783,-0.0001591498394191,0.2,1,0.0003,5e-05
-2.52,0.0,370688,1542,181,240,256.0,0.0670535055396612,1800.0,0.0,0.0,0.0002078399999999,0.6562165021896362,-1.1961674317717552e-08,0.0130945425480604,-0.0001656055805142,0.2,1,0.0003,5e-05
-2.46,0.0,372736,1552,182,240,256.0,0.0218699678549455,1810.0,0.0,0.0,0.0002073279999999,0.635171115398407,-1.271837390959263e-09,0.0133016156032681,-0.0001620327875571,0.2,1,0.0003,5e-05
-2.48,0.0,374784,1561,183,240,256.0,0.0082440654213314,1820.0,0.0,0.0,0.0002068159999999,0.4322048425674438,4.487810656428337e-09,0.0023604142479598,-0.0001645024303797,0.2,1,0.0003,5e-05
-2.54,0.0,376832,1570,184,239,256.0,0.0899208306043874,1830.0,0.0,0.0,0.0002063039999999,0.5394002199172974,-9.447103366255761e-09,0.0677418112754821,-0.0001738156539431,0.2,1,0.0003,5e-05
-2.42,0.0,378880,1579,185,239,256.0,0.0170131847513403,1840.0,0.0,0.0,0.0002057919999999,0.7696322798728943,-2.8554757591336964e-06,0.0038459750358015,-0.0001963901619092,0.2,1,0.0003,5e-05
