episode,r,l,is_success,dead_loop_events,wall_collision_count
231.0,-203.99999999999997,256.0,0.0,234.0,60.0
232.0,-212.0,256.0,0.0,223.0,42.0
233.0,-188.8,256.0,0.0,205.0,56.0
234.0,-213.79999999999998,256.0,0.0,234.0,49.0
235.0,-196.99999999999997,256.0,0.0,234.0,59.0
236.0,-196.60000000000002,256.0,0.0,234.0,64.0
237.0,-214.8,256.0,0.0,215.0,56.0
238.0,-211.80000000000007,256.0,0.0,219.0,53.0
239.0,-209.40000000000003,256.0,0.0,211.0,39.0
240.0,-205.00000000000006,256.0,0.0,234.0,54.0
241.0,-223.99999999999994,256.0,0.0,189.0,41.0
242.0,-201.60000000000008,256.0,0.0,193.0,54.0
243.0,-196.0,256.0,0.0,222.0,52.0
244.0,-198.60000000000002,256.0,0.0,234.0,55.0
245.0,-198.2,256.0,0.0,210.0,55.0
246.0,-192.60000000000002,256.0,0.0,234.0,61.0
247.0,-199.99999999999994,256.0,0.0,234.0,64.0
248.0,-202.39999999999998,256.0,0.0,181.0,44.0
249.0,-196.60000000000008,256.0,0.0,191.0,51.0
250.0,-200.40000000000003,256.0,0.0,234.0,52.0
251.0,-221.00000000000003,256.0,0.0,223.0,37.0
252.0,-185.59999999999997,256.0,0.0,208.0,68.0
253.0,-211.20000000000002,256.0,0.0,206.0,58.0
254.0,-200.59999999999997,256.0,0.0,210.0,59.0
255.0,-203.0,256.0,0.0,234.0,53.0
256.0,-219.19999999999996,256.0,0.0,234.0,34.0
257.0,-200.2,256.0,0.0,227.0,49.0
258.0,-211.2,256.0,0.0,234.0,50.0
259.0,-200.8,256.0,0.0,234.0,54.0
260.0,-216.0,256.0,0.0,221.0,56.0
261.0,-202.40000000000006,256.0,0.0,207.0,48.0
262.0,-226.99999999999994,256.0,0.0,214.0,45.0
263.0,-195.8,256.0,0.0,234.0,56.0
264.0,-216.59999999999994,256.0,0.0,202.0,51.0
265.0,-192.40000000000003,256.0,0.0,234.0,60.0
266.0,-198.0,256.0,0.0,234.0,58.0
267.0,-197.8,256.0,0.0,234.0,57.0
268.0,-201.0,256.0,0.0,234.0,57.0
269.0,-193.40000000000003,256.0,0.0,234.0,59.0
270.0,-192.8,256.0,0.0,216.0,55.0
