time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/iterations,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,phase,phase_learning_rate_start,phase_learning_rate_end
978,256.0,258048,0.0,-2.46,263,126,0.0,0.2460077136405743,-5.493687249327195e-05,0.2,0.0292773842811584,0.0,0.042112436145544,5.296897143125534e-10,0.0002359999999999,1250.0,1,0.0003,5e-05
986,256.0,260096,0.0,-2.34,263,127,0.0,0.0904941252782009,-5.5037572883520626e-05,0.2,0.082194447517395,0.0,0.0824329107999801,-3.14321368932724e-10,0.0002354879999999,1260.0,1,0.0003,5e-05
993,256.0,262144,0.0,-2.52,263,128,0.0,0.0252921903622336,-5.532992968255712e-05,0.2,0.2121977806091308,0.0,0.0274510458111763,-1.1175870895385742e-09,0.0002349759999999,1270.0,1,0.0003,5e-05
1000,256.0,264192,0.0,-2.56,264,129,0.0,0.3389716520556248,-5.555819820983743e-05,0.2,0.0135465264320373,0.0,0.3886276185512543,2.3283064365386963e-10,0.0002344639999999,1280.0,1,0.0003,5e-05
1007,256.0,266240,0.0,-2.5,264,130,0.0,0.052971653440909,-5.536720746022183e-05,0.2,0.2368612289428711,0.0,0.0914590582251548,4.458706825971603e-09,0.0002339519999999,1290.0,1,0.0003,5e-05
1014,256.0,268288,0.0,-2.48,264,131,0.0,0.1571404630361939,-5.545594449358759e-05,0.2,0.0213961005210876,0.0,0.1884969919919967,3.4924596548080437e-11,0.0002334399999999,1300.0,1,0.0003,5e-05
1022,256.0,270336,0.0,-2.4,264,132,0.0,0.0365143528331827,-5.576004587055649e-05,0.2,0.1176496148109436,0.0,0.0006775641813874,5.640322342514992e-09,0.0002329279999999,1310.0,1,0.0003,5e-05
1029,256.0,272384,0.0,-2.42,264,133,0.0,0.0120152504056022,-6.27106182037096e-05,0.2,0.7025701403617859,0.0,0.0001985164417419,6.629852578043938e-09,0.0002324159999999,1320.0,1,0.0003,5e-05
1036,256.0,274432,0.0,-2.38,264,134,0.0,0.055705455253701,-5.585312110270024e-05,0.2,0.0829275846481323,0.0,0.0646943822503089,-3.1897798180580133e-09,0.0002319039999999,1330.0,1,0.0003,5e-05
1043,256.0,276480,0.0,-2.4,264,135,0.0,0.1910195941891288,-5.587506752817717e-05,0.2,0.0137812495231628,0.0,0.0280781332403421,-5.553010851144791e-09,0.0002313919999999,1340.0,1,0.0003,5e-05
1050,256.0,278528,0.0,-2.46,265,136,0.0,0.0649700234142073,-5.631752496810804e-05,0.2,0.0732975006103515,0.0,0.0309987179934978,-5.366746336221695e-09,0.0002308799999999,1350.0,1,0.0003,5e-05
1058,256.0,280576,0.0,-2.26,265,137,0.0,0.0397523134306538,-5.6745688698356386e-05,0.2,0.0706397294998169,0.0,0.028257668018341,1.2922100722789762e-09,0.0002303679999999,1360.0,1,0.0003,5e-05
1065,256.0,282624,0.0,-2.28,265,138,0.0,0.0159617888894445,-5.700847459593206e-05,0.2,0.4817938208580017,0.0,0.0196414515376091,-4.528556019067764e-09,0.000229856,1370.0,1,0.0003,5e-05
1072,256.0,284672,0.0,-2.34,265,139,0.0,0.0486252854924714,-5.695877698599361e-05,0.2,0.0605652332305908,0.0,0.0150172170251607,-7.118796929717064e-09,0.0002293439999999,1380.0,1,0.0003,5e-05
1079,256.0,286720,0.0,-2.32,265,140,0.0,0.1257999351524631,-5.7107790553345694e-05,0.2,0.0335505008697509,0.0,0.0094105824828147,1.234002411365509e-09,0.0002288319999999,1390.0,1,0.0003,5e-05
1086,256.0,288768,0.0,-2.32,265,141,0.0,0.0719952595405629,-5.746931706198666e-05,0.2,0.0870052576065063,0.0,0.0614997595548629,-7.188646122813225e-09,0.0002283199999999,1400.0,1,0.0003,5e-05
1093,256.0,290816,0.0,-2.26,265,142,0.0,0.1627100062323734,-5.768891278421506e-05,0.2,0.0522940158843994,0.0,0.1834011375904083,-1.4522811397910118e-09,0.0002278079999999,1410.0,1,0.0003,5e-05
1101,256.0,292864,0.0,-2.26,265,143,0.0,0.0390806210169103,-5.7722809060578584e-05,0.2,0.1438485980033874,0.0,0.0018641051137819,5.366746336221695e-09,0.0002272959999999,1420.0,1,0.0003,5e-05
1108,256.0,294912,0.0,-2.32,266,144,0.0,0.0575582721670798,-5.913666409469442e-05,0.2,0.5487343072891235,0.0,0.075001336634159,-1.9607250578701497e-08,0.0002267839999999,1430.0,1,0.0003,5e-05
