time/total_timesteps,train/loss,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/n_updates,phase
493568,0.6111336946487427,7.566995918750762e-10,0.5724025086441543,-0.0007673178071854,2400.0,1
495616,0.0887846797704696,-4.662625724449754e-06,0.1228488009121974,-0.0008207529754145,2410.0,1
497664,0.0030260570347309,-0.0009096565714571,0.0057975987292593,-0.000491920261993,2420.0,1
499712,0.1065830215811729,6.7404471337795264e-09,0.3886171074424055,-0.0004077911522472,2430.0,1
501760,9.23608968150802e-05,-1.3416865840554236e-08,0.0026708630470238,-0.0004159811724093,2440.0,1
503808,0.0692861378192901,7.30389729142189e-08,0.0551897085690143,-0.0003957295379223,2450.0,1
505856,0.0012444077292457,-6.001209840178489e-09,0.0341576289552904,-0.0004057844882481,2460.0,1
507904,0.0002063884167,2.869346644729376e-08,0.0713781381449734,-0.0004178252987912,2470.0,1
509952,0.1005807593464851,-2.3555883672088383e-06,0.1125168779033629,-0.0004816434600797,2480.0,1
512000,0.0001167992086266,-1.0710209608078e-09,0.0376970191705368,-0.0004181131083896,2490.0,1
514048,0.0003950950049329,-6.926711648702621e-09,0.0861266934427476,-0.0004249824633006,2500.0,1
516096,0.8516477942466736,-0.0006447160150855,1.706890753377229,-0.0002841742520104,2510.0,1
518144,0.002310125157237,-2.6600901037454607e-09,0.004388066962565,-0.0002501749899238,2520.0,1
520192,0.0001675459643593,3.183959051966667e-09,0.0006946513583216,-0.0002565632119512,2530.0,1
522240,0.0006376065430231,2.6100315153598784e-08,0.0847415927939437,-0.0002569791115092,2540.0,1
524288,0.0066122477874159,-1.7462298274040222e-10,0.1598788126153522,-0.0002553354519477,2550.0,1
526336,0.2379843890666961,1.0797521099448202e-09,0.0643372893060131,-0.0002613647298858,2560.0,1
528384,0.1153997257351875,4.706089384853839e-09,0.1241256127082351,-0.0002573088444478,2570.0,1
530432,0.0003644738753791,1.2805685400962828e-10,0.0395429901822353,-0.0002565579394286,2580.0,1
532480,0.1097946092486381,-6.123445928096771e-09,0.1676168533190321,-0.0002611954052554,2590.0,1
534528,0.1293002068996429,-0.0001157045713625,0.0898457966548448,-0.0002498071366062,2600.0,1
536576,0.0060060881078243,-1.8277205526828763e-09,0.0767591659172467,-0.0002408784062936,2610.0,1
538624,0.0002019960666075,1.6472768038511275e-09,0.1184457292104525,-0.0002374575049543,2620.0,1
540672,0.1137377321720123,2.0256265997886656e-09,0.0552088882077441,-0.0002376685899434,2630.0,1
542720,0.0009253704920411,-1.094886101782322e-08,0.0018617279416503,-0.0002282426201418,2640.0,1
544768,0.0011612483067438,4.5052729547023785e-09,0.0012126313952876,-0.0002367591916481,2650.0,1
546816,0.2392388880252838,-3.8114376366138456e-08,0.1212263036537479,-0.0002341553854421,2660.0,1
548864,9.616484749130905e-05,2.6600901037454607e-09,0.0005644196018579,-0.0002391011939835,2670.0,1
550912,0.0015595617005601,-4.377216100692749e-09,0.1785747279584029,-0.0002328729604414,2680.0,1
552960,0.0971086919307708,4.21423465013504e-08,0.0928300001571187,-0.0002322307802387,2690.0,1
555008,0.0044554015621542,-2.91038304567337e-09,0.0438041460729436,-0.0002370793266891,2700.0,1
557056,0.0005582694429904,-7.450580596923829e-10,0.0316626710891341,-0.0002401315119641,2710.0,1
559104,0.0541401207447052,-2.1129380911588672e-08,0.1700201521016424,-0.0002485844033799,2720.0,1
561152,0.3650386035442352,-0.0002697237912798,0.2036388271604664,-0.0002061430554022,2730.0,1
563200,0.1171895861625671,-0.0008573161263484,0.0581993574422085,-0.0001256408999324,2740.0,1
565248,0.001537705422379,1.1641532182693482e-11,0.2255427169802715,-0.0001061948588358,2750.0,1
567296,0.3181160986423492,3.667082637548446e-10,0.1885887649386859,-0.0001060492930264,2760.0,1
569344,0.0942488089203834,-1.280568540096283e-09,0.0892388632426673,-0.0001084905456991,2770.0,1
571392,0.0004911426221951,3.7834979593753815e-10,0.1161746752139151,-0.000105597176298,2780.0,1
573440,0.0001442801440134,1.8393620848655702e-09,0.1059050831078366,-0.0001093035619305,2790.0,1
575488,0.0017490024911239,1.1466909199953079e-09,0.0524964036310848,-0.0001118638948355,2800.0,1
577536,0.0954612120985984,9.60426405072212e-10,0.1036865688420221,-0.0001073085893949,2810.0,1
579584,0.4082702994346618,1.5832483768463132e-09,0.2097385349930846,-0.0001068478280103,2820.0,1
581632,0.0004561552486848,4.3946783989667886e-10,0.0524368527017941,-0.0001052883776537,2830.0,1
583680,0.0721484050154686,4.831235855817794e-10,0.6749978808977175,-0.0001091505478143,2840.0,1
585728,0.3275153934955597,2.491287887096405e-09,1.1243595749721862,-0.0001103675311242,2850.0,1
587776,0.1800518035888672,-4.8108631744980815e-09,0.1137641650464502,-0.0001175992520074,2860.0,1
589824,0.0006602489156648,-6.461050361394882e-09,0.1003761550637136,-0.0001082289207261,2870.0,1
591872,0.0517370663583278,5.640322342514992e-09,0.138293434777006,-0.0001062395667759,2880.0,1
593920,0.0010025284718722,1.7578713595867155e-09,0.00158710025662,-0.0001101331848985,2890.0,1
595968,0.0003290374879725,1.123407855629921e-09,0.0009612096450837,-0.0001090641801056,2900.0,1
598016,0.1158225089311599,-4.254980012774467e-09,0.1889608861180022,-0.0001065009967533,2910.0,1
600064,0.0005465392023324,-4.3946783989667886e-10,0.0039994726834265,-0.0001094916417059,2920.0,1
602112,0.1035782992839813,-7.799826562404633e-10,0.4995197394207935,-0.0001095862950023,2930.0,1
604160,0.2770240604877472,-1.9150320440530776e-09,0.3341227102602715,-0.0001065138672856,2940.0,1
606208,0.0001707370538497,-2.2700987756252286e-10,0.0314916098875983,-0.0001122802928875,2950.0,1
608256,0.0001043244628817,8.731149137020111e-11,0.0014709085624872,-0.0001084269559214,2960.0,1
610304,0.1088102608919143,-3.0966475605964662e-09,0.2171343220616108,-0.0001077811784853,2970.0,1
612352,0.0014368291012942,-4.5110937207937235e-10,0.085307918061062,-0.0001072788979399,2980.0,1
614400,0.0057946927845478,-9.767245501279832e-09,0.0351993440184742,-0.0001120889647609,2990.0,1
616448,0.0536242611706256,2.2351741790771484e-09,0.2603734298550989,-0.000108541226109,3000.0,1
618496,0.0014065450523048,8.952338248491288e-09,0.1673729275593359,-0.000110527554716,3010.0,1
620544,0.1043607890605926,1.187436282634735e-09,0.3166391753984499,-0.0001123895086493,3020.0,1
622592,0.050608605146408,-4.48198989033699e-10,0.1542818350688321,-0.0001098721343623,3030.0,1
624640,0.1995246708393097,-9.66247171163559e-10,0.282610991015099,-0.0001097538925932,3040.0,1
626688,0.0076318806968629,6.984919309616089e-11,0.097746107299099,-0.0001122799219047,3050.0,1
628736,0.1437208354473114,-2.64262780547142e-09,0.2481764761127124,-0.0001144525643212,3060.0,1
630784,0.0023514465428888,1.461012288928032e-09,0.1130330921863787,-0.0001148440272118,3070.0,1
632832,0.0020588133484125,-2.514570951461792e-09,0.3654683028617,-0.0001129018928622,3080.0,1
634880,1.0262256860733032,-3.0267983675003053e-10,1.0484519614605232,-0.0001128278312535,3090.0,1
636928,0.0003555244184099,-1.5745172277092932e-09,0.0658229540753382,-0.0001144556267718,3100.0,1
638976,0.0011175553081557,-1.0535586625337602e-09,0.0307065569562837,-0.0001200391116981,3110.0,1
641024,0.2164545059204101,-3.8882717490196235e-09,0.2975220116844866,-0.0001129728500927,3120.0,1
643072,0.2426664531230926,-2.639717422425747e-09,0.2882802763335348,-0.0001159603029009,3130.0,1
645120,0.0005010031163692,-5.558831617236137e-09,0.0014057505186428,-0.000117082698398,3140.0,1
