rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,time/iterations,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/loss,phase,phase_learning_rate_start,phase_learning_rate_end
-0.6359999999999999,255,671744,2632,256.0,0.0,328,0.836909294128418,0.2,0.000132576,-0.0001189346798128,0.0229352542131437,0.0,0.0,3.376044332981109e-09,3270.0,0.0037328705657273,1,0.0003,5e-05
-0.372,255,673792,2639,256.0,0.0,329,0.0540885329246521,0.2,0.000132064,-0.0001234920746355,0.0812408164911175,0.0,0.0,-1.3504177331924436e-09,3280.0,0.0017608860507607,1,0.0003,5e-05
-0.474,255,675840,2646,256.0,0.0,330,0.950321614742279,0.2,0.000131552,-0.0001234436529557,0.0053532732763414,0.0,0.0,3.684544935822486e-09,3290.0,0.0006293771439231,1,0.0003,5e-05
-0.6739999999999999,255,677888,2653,256.0,0.0,331,0.540241003036499,0.2,0.00013104,-0.0001239604165675,0.1917584974151395,0.0,0.0,1.1667725630104543e-07,3300.0,0.0016036592423915,1,0.0003,5e-05
-0.53,255,679936,2660,256.0,0.0,332,0.0383288264274597,0.2,0.0001305279999999,-0.0001204817597681,0.2549348488493706,0.0,0.0,1.7986167222261426e-09,3310.0,0.0707728862762451,1,0.0003,5e-05
-0.5359999999999999,255,681984,2667,256.0,0.0,333,0.6361105442047119,0.2,0.000130016,-0.0001262396675883,0.0014426407831933,0.0,0.0,-6.984919309616089e-11,3320.0,0.0018651614664122,1,0.0003,5e-05
-0.556,255,684032,2674,256.0,0.0,334,-3.457069396972656e-05,0.2,0.0001295039999999,-0.0001273063573535,0.1667585176301145,0.0,0.0,-5.4598785936832435e-09,3330.0,0.1491440534591674,1,0.0003,5e-05
-0.8059999999999999,255,686080,2682,256.0,0.0,335,0.9616820216178894,0.2,0.000128992,-0.0001287617391426,0.0040424895458272,0.0,0.0,-3.7252902984619143e-10,3340.0,0.0012827825266867,1,0.0003,5e-05
-0.988,255,688128,2689,256.0,0.0,336,0.6105318069458008,0.2,0.00012848,-0.0001273153129659,0.132625844929862,0.0,0.0,-3.702007234096527e-09,3350.0,0.2413201779127121,1,0.0003,5e-05
-1.112,255,690176,2696,256.0,0.0,337,0.0053443908691406,0.2,0.000127968,-0.0001367063792713,0.2489953061629421,0.0,0.0,-5.832407623529434e-09,3360.0,0.0015607906971126,1,0.0003,5e-05
