time/total_timesteps,train/value_loss,train/n_updates,train/policy_gradient_loss,train/loss,train/entropy_loss,phase
391168,0.0600643222969665,1900.0,1.0564690455794334e-08,0.0101993614807724,-0.0002007459306696,1
393216,0.0555185631252243,1910.0,1.331500243395567e-09,0.0268688518553972,-0.0001977055640963,1
395264,0.014923877910769,1920.0,-9.66247171163559e-10,0.0026464734692126,-0.0002012677192396,1
397312,0.0148575598290335,1930.0,-2.9685907065868376e-10,0.0041247480548918,-0.0002071789993351,1
399360,0.1007354487806878,1940.0,7.901689969003201e-10,0.0530514493584632,-0.0002113283844664,1
401408,0.0806132374535082,1950.0,-2.3865140974521635e-10,0.0246051624417305,-0.0002143716070349,1
403456,0.1073082369926851,1960.0,-1.1117663234472276e-09,0.0471881628036499,-0.0002179391256504,1
405504,0.0183195621997583,1970.0,-9.196810424327851e-10,0.0068972408771514,-0.000220692010771,1
407552,0.1367932361667044,1980.0,-6.926711648702622e-10,0.0174344442784786,-0.000226777420903,1
409600,0.1358725824218709,1990.0,-2.3399479687213903e-09,0.1419940441846847,-0.0002532215687097,1
411648,0.0315082699136837,2000.0,-3.020977601408958e-09,0.0174752809107303,-0.000231630653252,1
413696,0.023934013316466,2010.0,7.217749953269959e-10,0.0054241842590272,-0.0002350547685637,1
415744,0.0347639024737873,2020.0,-1.5395926311612127e-09,0.0061768484301865,-0.0002399930310275,1
417792,0.0833857721663662,2030.0,-2.5262124836444854e-09,0.0692903250455856,-0.0002438248304315,1
419840,0.0245118299004388,2040.0,-2.0387233234941963e-08,0.0153829334303736,-0.0002696958425076,1
421888,0.0068194558167306,2050.0,1.0023359209299089e-08,0.0054958825930953,-0.0002547540861996,1
423936,0.0299084866773228,2060.0,-2.0823790691792964e-09,0.0042047034949064,-0.0002663706985913,1
425984,0.0531422209678567,2070.0,-6.7404471337795264e-09,0.020211374387145,-0.0002803133727866,1
428032,0.0504624585431884,2080.0,3.0762748792767526e-09,0.0362603440880775,-0.0002808609886415,1
430080,0.0313054839753021,2090.0,-1.362059265375137e-09,0.0258127842098474,-0.0002917621728556,1
432128,0.1421271799830719,2100.0,-2.9800867196172477e-08,0.1160353124141693,-0.0003316721358714,1
434176,0.0739980931364698,2110.0,-2.0867446437478062e-09,0.0275010764598846,-0.0002957521905045,1
436224,0.0277801599389931,2120.0,-6.527989171445371e-09,0.001871385378763,-0.0003034737863345,1
438272,0.035477610687667,2130.0,-3.780587576329708e-09,0.0105294929817318,-0.0003281716944911,1
440320,0.065617393242428,2140.0,-1.8335413187742231e-09,0.0190871357917785,-0.0003191065992723,1
442368,0.1569670087192207,2150.0,2.426677383482456e-08,0.1722352206707,-0.00034101141282,1
444416,0.0542041339169372,2160.0,4.473258741199971e-09,0.007063262630254,-0.0003376320564711,1
446464,0.0262947846771567,2170.0,1.8044374883174894e-10,0.0147296311333775,-0.0003372474333446,1
448512,0.1088771035916579,2180.0,6.868503987789154e-09,0.0308100525289773,-0.0003482961212284,1
450560,0.0182408271750318,2190.0,-6.330083124339581e-10,0.0150861041620373,-0.0003694992832606,1
452608,0.0681434332538628,2200.0,-1.4668330550193784e-09,0.0710907950997352,-0.0003792302755755,1
454656,0.0383398786587349,2210.0,-1.3300450518727303e-09,0.0708012804389,-0.0003906142010237,1
456704,0.0093941441318747,2220.0,-5.426642019301653e-07,0.0033059027045965,-0.0004171881362708,1
458752,0.1483752821222879,2230.0,-6.5483618527650835e-12,0.0524790845811367,-0.0004416530016897,1
460800,0.0277343271198333,2240.0,-5.587935447692871e-10,0.011535171419382,-0.0004579645890771,1
462848,0.0868896212421532,2250.0,4.656612873077393e-11,0.0275742020457983,-0.0004775857982167,1
464896,0.0278428188845282,2260.0,-0.0007164898939663,0.004836359526962,-0.0003369278372701,1
466944,0.0386237776911002,2270.0,-9.167706593871116e-10,0.008204037323594,-0.0003186748795997,1
468992,0.066000951535716,2280.0,2.613523975014686e-09,0.0010091928998008,-0.0003214348271285,1
471040,0.2984574474394321,2290.0,-3.5506673157215116e-10,0.2223047912120819,-0.000332983757471,1
473088,0.0559888953444897,2300.0,-2.0058359950780873e-08,0.0004568184376694,-0.0003285249982582,1
475136,0.0391567045444389,2310.0,-4.773028194904327e-09,0.0153331849724054,-0.0003322857133753,1
477184,0.0156266001155017,2320.0,6.00994098931551e-08,0.0035309558734297,-0.0003382240920473,1
479232,0.1294748240849003,2330.0,3.0384398996829992e-09,0.050373375415802,-0.0003417843159695,1
481280,0.0698296944712637,2340.0,2.4447217583656307e-10,0.0698128193616867,-0.0003442540240939,1
