rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/clip_fraction,phase,phase_learning_rate_start,phase_learning_rate_end
256.0,602112,0.0,294,2512,-2.64,239,0.0020799324847757,-1.7590355128049853e-08,0.0062620196496936,0.2,2930.0,-0.0001161237244559,0.0,0.3827295303344726,0.0001499839999999,0.0,1,0.0003,5e-05
256.0,604160,0.0,295,2520,-2.62,239,0.0008711350965313,-1.0849907994270323e-08,0.0176037135230217,0.2,2940.0,-0.0001199522996103,0.0,0.6737050414085388,0.000149472,0.0,1,0.0003,5e-05
256.0,606208,0.0,296,2528,-2.6,239,0.0579340979456901,-5.093170329928398e-09,0.1204211630742065,0.2,2950.0,-0.000125547123207,0.0,0.472507894039154,0.0001489599999999,0.0,1,0.0003,5e-05
256.0,608256,0.0,297,2536,-2.6,239,0.0045865108259022,-1.4557735994458198e-08,0.0119801430562802,0.2,2960.0,-0.0001242738331711,0.0,0.5157977938652039,0.000148448,0.0,1,0.0003,5e-05
256.0,610304,0.0,298,2544,-2.82,239,0.0161518901586532,-3.457535058259964e-09,0.0959873237588908,0.2,2970.0,-0.0001246108249688,0.0,0.5334018468856812,0.000147936,0.0,1,0.0003,5e-05
256.0,612352,0.0,299,2553,-2.64,239,0.0568252317607402,5.675246939063071e-10,0.1552546325270668,0.2,2980.0,-0.0001299462517636,0.0,0.6814335584640503,0.000147424,0.0,1,0.0003,5e-05
256.0,614400,0.0,300,2561,-2.54,239,0.0242634955793619,2.64262780547142e-09,0.0298388441064162,0.2,2990.0,-0.0001296672871831,0.0,0.581856369972229,0.000146912,0.0,1,0.0003,5e-05
256.0,616448,0.0,301,2569,-2.66,239,0.0169347543269395,-2.9656803235411646e-09,0.0181988953298059,0.2,3000.0,-0.0001300853658904,0.0,0.774022102355957,0.0001464,0.0,1,0.0003,5e-05
256.0,618496,0.0,302,2577,-2.66,239,0.0027307469863444,1.9208528101444243e-10,0.0352586265820718,0.2,3010.0,-0.0001353894691419,0.0,0.5889800786972046,0.000145888,0.0,1,0.0003,5e-05
256.0,620544,0.0,303,2586,-2.72,239,0.0168504454195499,-7.476774044334888e-09,0.0194674193338869,0.2,3020.0,-0.0001380848019834,0.0,0.7669569253921509,0.0001453759999999,0.0,1,0.0003,5e-05
256.0,622592,0.0,304,2594,-2.64,239,0.041161011904478,6.475602276623248e-10,0.0484958355125854,0.2,3030.0,-0.0001378181299514,0.0,0.7052676677703857,0.000144864,0.0,1,0.0003,5e-05
256.0,624640,0.0,305,2602,-2.8,239,0.0049112467095255,3.748573362827301e-09,0.0112679998303065,0.2,3040.0,-0.0001419462620106,0.0,0.4795302152633667,0.0001443519999999,0.0,1,0.0003,5e-05
256.0,626688,0.0,306,2611,-2.84,239,0.1267680674791336,1.650187186896801e-08,0.1308864705322776,0.2,3050.0,-0.0001470219716793,0.0,0.4245297908782959,0.0001438399999999,0.0,1,0.0003,5e-05
