time/total_timesteps,train/value_loss,train/entropy_loss,train/loss,train/policy_gradient_loss,train/n_updates,phase
174080,0.1259329002408776,-0.0002626726705784,0.0333824306726455,-2.4389009922742843e-09,840.0,1
176128,0.0289723215160847,-0.0002627088684675,0.0144299510866403,-2.7164787752553822e-09,850.0,1
178176,0.0887568038146127,-0.0002665023683221,0.0593259446322917,7.636845111846923e-09,860.0,1
180224,0.0273445846880349,-0.0002650872760568,0.0174788273870944,2.0816514734178783e-09,870.0,1
182272,0.0216973612654783,-0.0002700689732591,0.0040421239100396,5.820766091346741e-09,880.0,1
184320,0.2333149379584938,-0.0002213758449215,0.2136626243591308,-0.0002222353476099,890.0,1
186368,0.0588653485377108,-0.0002155925370971,0.0869696214795112,8.032657206058503e-10,900.0,1
188416,0.0039356763344585,-0.0002170803794797,2.5501287382212467e-05,-1.961452653631568e-08,910.0,1
190464,0.0371319731222456,-0.0002179224349674,0.0192987099289894,4.307366907596588e-09,920.0,1
192512,0.0333180396039097,-0.0002554554775997,0.0034300307743251,-3.919703885912895e-08,930.0,1
194560,0.3729624481115025,-0.0002204006126703,0.0109499432146549,2.281740307807922e-09,940.0,1
196608,0.2361855835886672,-0.0002202423494964,0.1869834959506988,-5.704350769519806e-09,950.0,1
198656,0.0419684008516924,-0.0002205118571509,0.0440335348248481,1.4551915228366852e-10,960.0,1
200704,0.0989886175506399,-0.0002220174998001,0.0436314046382904,-2.782326191663742e-09,970.0,1
202752,0.1910775224911049,-0.000123461100884,0.0442949682474136,-0.0007783615379594,980.0,1
204800,0.1813536740082781,-0.0001093474995286,0.0626915246248245,4.903995431959628e-10,990.0,1
206848,0.0609519356941746,-0.0001088260987671,0.0025974900927394,-7.334165275096892e-10,1000.0,1
208896,0.1656805537102627,-0.0001111825649786,0.1558497548103332,-1.955777406692505e-09,1010.0,1
210944,0.14416778171435,-0.0001109569129766,0.1184749081730842,-5.273614078760147e-09,1020.0,1
212992,0.3955531036830507,-0.0001100960893381,0.1101226285099983,1.076841726899147e-09,1030.0,1
215040,0.163554963748902,-0.0001101491021472,0.0849413052201271,2.852175384759903e-09,1040.0,1
217088,0.0631909534626174,-0.0001111757939725,0.0016969974385574,-3.5332050174474718e-09,1050.0,1
219136,0.0376147876602772,-0.0001271535575142,0.0038464562967419,-1.4938996173441412e-08,1060.0,1
221184,0.1024689136123924,-0.0001107872472857,0.0679158568382263,-7.520429790019988e-09,1070.0,1
223232,0.1793081207135401,-0.000109903032262,0.0472206771373748,-6.01867213845253e-09,1080.0,1
225280,0.3030637090094387,-6.555845384355052e-05,0.2797119319438934,-0.0004594069672748,1090.0,1
227328,0.0747763795137871,-5.398918165155919e-05,0.0053364322520792,-1.9936123862862587e-09,1100.0,1
229376,0.228581891907379,-5.3819310051039795e-05,0.0984193608164787,-2.450542524456978e-09,1110.0,1
231424,0.2847374372504418,-5.3838224721403095e-05,0.1748155355453491,-1.8102582544088362e-09,1120.0,1
233472,0.0628253629198297,-5.387591727412655e-05,0.0153666697442531,6.810296326875685e-10,1130.0,1
235520,0.13112332651217,-5.388452168517688e-05,0.1005734652280807,3.4924596548080437e-11,1140.0,1
237568,0.0672939654694346,-5.407397125054558e-05,0.0397390499711036,-1.9790604710578918e-10,1150.0,1
239616,0.0291562158688975,-5.39335399025731e-05,0.0093167833983898,-2.712476998567581e-09,1160.0,1
241664,0.0433503743370238,-5.41391198112251e-05,0.0292996428906917,1.3038516044616696e-09,1170.0,1
243712,0.1348178138083312,-5.407836788435816e-05,0.186016634106636,2.171145752072334e-09,1180.0,1
245760,0.0369258195922157,-5.4163747790880734e-05,0.008875967003405,-8.294591680169106e-09,1190.0,1
247808,0.0226336513483147,-5.451053011711338e-05,0.0316862948238849,-8.149072527885435e-11,1200.0,1
249856,0.0664395492647599,-5.467737710205256e-05,0.0091555202379822,4.854518920183182e-09,1210.0,1
251904,0.1628316521178931,-5.44373524007824e-05,0.0702326893806457,-8.149072527885436e-10,1220.0,1
253952,0.0039818498646127,-5.499025473909569e-05,6.615106394747272e-05,6.309710443019867e-09,1230.0,1
256000,0.0588347995570075,-5.4952880827841e-05,0.0268470887094736,1.938315108418464e-09,1240.0,1
258048,0.2460077136405743,-5.493687249327195e-05,0.042112436145544,5.296897143125534e-10,1250.0,1
260096,0.0904941252782009,-5.5037572883520626e-05,0.0824329107999801,-3.14321368932724e-10,1260.0,1
262144,0.0252921903622336,-5.532992968255712e-05,0.0274510458111763,-1.1175870895385742e-09,1270.0,1
264192,0.3389716520556248,-5.555819820983743e-05,0.3886276185512543,2.3283064365386963e-10,1280.0,1
266240,0.052971653440909,-5.536720746022183e-05,0.0914590582251548,4.458706825971603e-09,1290.0,1
268288,0.1571404630361939,-5.545594449358759e-05,0.1884969919919967,3.4924596548080437e-11,1300.0,1
270336,0.0365143528331827,-5.576004587055649e-05,0.0006775641813874,5.640322342514992e-09,1310.0,1
272384,0.0120152504056022,-6.27106182037096e-05,0.0001985164417419,6.629852578043938e-09,1320.0,1
274432,0.055705455253701,-5.585312110270024e-05,0.0646943822503089,-3.1897798180580133e-09,1330.0,1
276480,0.1910195941891288,-5.587506752817717e-05,0.0280781332403421,-5.553010851144791e-09,1340.0,1
278528,0.0649700234142073,-5.631752496810804e-05,0.0309987179934978,-5.366746336221695e-09,1350.0,1
280576,0.0397523134306538,-5.6745688698356386e-05,0.028257668018341,1.2922100722789762e-09,1360.0,1
282624,0.0159617888894445,-5.700847459593206e-05,0.0196414515376091,-4.528556019067764e-09,1370.0,1
284672,0.0486252854924714,-5.695877698599361e-05,0.0150172170251607,-7.118796929717064e-09,1380.0,1
286720,0.1257999351524631,-5.7107790553345694e-05,0.0094105824828147,1.234002411365509e-09,1390.0,1
288768,0.0719952595405629,-5.746931706198666e-05,0.0614997595548629,-7.188646122813225e-09,1400.0,1
290816,0.1627100062323734,-5.768891278421506e-05,0.1834011375904083,-1.4522811397910118e-09,1410.0,1
292864,0.0390806210169103,-5.7722809060578584e-05,0.0018641051137819,5.366746336221695e-09,1420.0,1
294912,0.0575582721670798,-5.913666409469442e-05,0.075001336634159,-1.9607250578701497e-08,1430.0,1
296960,0.0503263279089878,-5.817379883410467e-05,0.0022951625287532,2.1548476070165633e-08,1440.0,1
299008,0.090340617300535,-5.886432336410507e-05,0.0420932136476039,-1.935986801981926e-08,1450.0,1
301056,0.0365719062687276,-5.932211802246456e-05,0.0488479100167751,8.498318493366241e-09,1460.0,1
303104,0.0205198454295896,-5.948150642325345e-05,0.0020166290923953,-2.0954757928848267e-10,1470.0,1
305152,0.1258357740429346,-5.990129639030783e-05,0.0483200550079345,6.868503987789153e-10,1480.0,1
307200,0.123213149725052,-6.003019566378498e-05,0.0556157641112804,2.258457243442535e-09,1490.0,1
309248,0.0405002080073245,-6.075400556255772e-05,0.016623081639409,3.527384251356125e-09,1500.0,1
311296,0.0323376028894927,-6.083884454710642e-05,0.0037518865428864,-1.9033905118703844e-09,1510.0,1
313344,0.1925111316260881,-6.116634435784362e-05,0.0054474733769893,-1.1816155165433882e-09,1520.0,1
315392,0.1983773354790173,-6.133529414000804e-05,0.0826638266444206,-5.587935447692871e-10,1530.0,1
317440,0.0987983126848121,-6.154851416795282e-05,0.0743433833122253,3.707828000187874e-09,1540.0,1
319488,0.1362180259660817,-6.240452839847421e-05,0.0029061348177492,1.9092112779617308e-09,1550.0,1
321536,0.1045684590397286,-6.292217740337947e-05,0.0493522807955741,5.611218512058258e-09,1560.0,1
323584,0.0627556936065957,-6.288260765359155e-05,0.000654412433505,4.200846888124943e-08,1570.0,1
325632,0.1134772587007319,-6.319909116427879e-05,0.100814551115036,-1.955777406692505e-09,1580.0,1
327680,0.0372186432097805,-6.373054739015061e-05,0.0464636050164699,-8.603092283010483e-09,1590.0,1
329728,0.1750405755403335,-6.426041836675722e-05,0.0699333846569061,-3.667082637548446e-10,1600.0,1
331776,0.0773557357311801,-6.517896090372233e-05,0.1446065902709961,4.0745362639427176e-11,1610.0,1
333824,0.040580250545463,-6.563171855304973e-05,0.0001479583152104,-1.2332748156040907e-09,1620.0,1
335872,0.0967183525353903,-6.653126374658313e-05,0.102539986371994,-1.769512891769409e-09,1630.0,1
337920,0.0254566073635942,-6.688305156785646e-05,0.0023011772427707,-8.073402568697929e-09,1640.0,1
339968,0.0869829341274453,-6.706288486384438e-05,0.0245031416416168,5.980837158858775e-10,1650.0,1
342016,0.1782195888459682,-6.782422269679955e-05,0.087656669318676,7.566995918750763e-11,1660.0,1
344064,0.1041448155912803,-6.833140669186833e-05,0.0728513970971107,-3.3352989703416823e-09,1670.0,1
346112,0.1060486073751235,-6.860039165985654e-05,0.0659955143928527,-4.5984052121639254e-10,1680.0,1
348160,0.1118281780203687,-6.938750411791261e-05,0.0636949762701988,-3.841705620288849e-09,1690.0,1
350208,0.1476246068952605,-7.067607266435516e-05,0.1191753819584846,5.657784640789032e-09,1700.0,1
352256,0.0636381405303836,-7.028477475614636e-05,0.0231320038437843,-5.0000380724668514e-09,1710.0,1
354304,0.0968606356203963,-8.186662789739785e-05,0.001381111331284,-2.4016480892896657e-08,1720.0,1
356352,0.0333713880234427,-7.147120122681372e-05,0.0257657039910554,7.450580596923829e-10,1730.0,1
358400,0.0438103667991526,-7.281360876731924e-05,0.030009351670742,-1.699663698673248e-09,1740.0,1
360448,0.186861253195093,-7.40015256269544e-05,0.1031777039170265,-1.327134668827057e-09,1750.0,1
362496,0.2268088840995915,-7.428843755405979e-05,0.0357790738344192,-6.577465683221816e-10,1760.0,1
364544,0.202158219992998,-7.466478209607885e-05,0.1487172096967697,-8.381903171539306e-10,1770.0,1
366592,0.0453242216215585,-7.51034821405483e-05,0.003212699200958,-1.3795215636491775e-09,1780.0,1
368640,0.2250395785085857,-7.596744708280312e-05,0.3278151452541351,-8.96397978067398e-10,1790.0,1
370688,0.1712615879951045,-7.634471648998442e-05,0.1220148727297782,2.0914012566208843e-08,1800.0,1
372736,0.2431194496282842,-7.753800919090282e-05,0.0697247311472892,-8.96397978067398e-10,1810.0,1
374784,0.1642881338601,-7.789790670358343e-05,0.2238739579916,-1.629814505577087e-10,1820.0,1
376832,0.0397263269522227,-7.90122559919837e-05,0.0032450223807245,1.5483237802982331e-09,1830.0,1
378880,0.0753840714911348,-7.937850687085301e-05,0.0027831429615616,3.725290298461914e-09,1840.0,1
380928,0.1000477770074212,-8.106532877718564e-05,0.0758838579058647,2.939486876130104e-09,1850.0,1
382976,0.2852135862340219,-8.25002985948231e-05,0.1225746721029281,-2.3440225049853324e-08,1860.0,1
385024,0.1608959554345347,-8.206797510865727e-05,0.0919548422098159,-2.663000486791134e-09,1870.0,1
387072,0.0477241611879435,-8.602611333117239e-05,0.0003714599879458,-1.0673538781702521e-07,1880.0,1
389120,0.3811352940276265,-8.437563683401094e-05,0.0405893176794052,-9.83709469437599e-10,1890.0,1
391168,0.0672284913700423,-8.441118379778345e-05,0.0227557104080915,-3.748573362827301e-09,1900.0,1
393216,0.0339531378751416,-8.609676115156617e-05,0.0230927877128124,2.4447217583656307e-10,1910.0,1
395264,0.0282516358871362,-8.693273457538453e-05,0.0031468044035136,-1.4778925105929377e-08,1920.0,1
397312,0.083608715920127,-8.879562656147755e-05,0.032285388559103,1.3227690942585468e-08,1930.0,1
399360,0.0264455311844358,-9.009793575387448e-05,0.0022084030788391,4.074536263942718e-09,1940.0,1
401408,0.0941453602834371,-9.086695681617128e-05,0.0011569663183763,-4.365574568510055e-09,1950.0,1
403456,0.0504070572103955,-9.271312092096196e-05,0.0007511610165238,1.0011717677116394e-09,1960.0,1
405504,0.0573602099662821,-9.487341458225274e-05,0.0357484705746173,-4.6740751713514335e-09,1970.0,1
407552,0.0976917853742634,-9.775715852811118e-05,0.0012042135931551,4.48198989033699e-10,1980.0,1
409600,0.0236943919655459,-9.872376103885472e-05,0.0191193744540214,-1.4936085790395738e-08,1990.0,1
