time/time_elapsed,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/learning_rate,train/loss,rollout/success_rate,time/fps,phase,phase_learning_rate,phase_buffer_size
381,676,172685,0.05,256.0,43146,-14.740000000000002,4.666666666666667e-05,0.0531880743801593,0.0,452,3,4.666666666666667e-05,100000
383,680,173709,0.05,256.0,43402,-14.944,4.666666666666667e-05,0.0020341165363788,0.0,452,3,4.666666666666667e-05,100000
386,684,174733,0.05,256.0,43658,-14.842000000000002,4.666666666666667e-05,0.0006311296601779,0.0,452,3,4.666666666666667e-05,100000
388,688,175757,0.05,256.0,43914,-14.654000000000002,4.666666666666667e-05,0.0023190700449049,0.0,452,3,4.666666666666667e-05,100000
391,692,176781,0.05,256.0,44170,-14.635999999999996,4.666666666666667e-05,0.002881348831579,0.0,452,3,4.666666666666667e-05,100000
393,696,177805,0.05,256.0,44426,-14.606,4.666666666666667e-05,0.0310221780091524,0.0,451,3,4.666666666666667e-05,100000
395,700,178829,0.05,256.0,44682,-14.398,4.666666666666667e-05,0.0307202916592359,0.0,451,3,4.666666666666667e-05,100000
398,704,179853,0.05,256.0,44938,-14.206,4.666666666666667e-05,0.0024491460062563,0.0,451,3,4.666666666666667e-05,100000
400,708,180877,0.05,256.0,45194,-14.184000000000005,4.666666666666667e-05,0.002288572024554,0.0,451,3,4.666666666666667e-05,100000
403,712,181901,0.05,256.0,45450,-14.266000000000002,4.666666666666667e-05,0.0075257304124534,0.0,451,3,4.666666666666667e-05,100000
405,716,182925,0.05,256.0,45706,-14.484000000000002,4.666666666666667e-05,0.0265642534941434,0.0,450,3,4.666666666666667e-05,100000
408,720,183949,0.05,256.0,45962,-14.240000000000002,4.666666666666667e-05,0.0347229950129985,0.0,450,3,4.666666666666667e-05,100000
410,724,184973,0.05,256.0,46218,-14.12,4.666666666666667e-05,0.0022594816982746,0.0,450,3,4.666666666666667e-05,100000
413,728,185997,0.05,256.0,46474,-14.264,4.666666666666667e-05,0.0016398099251091,0.0,450,3,4.666666666666667e-05,100000
415,732,187021,0.05,256.0,46730,-14.406,4.666666666666667e-05,0.0434738919138908,0.0,450,3,4.666666666666667e-05,100000
417,736,188045,0.05,256.0,46986,-14.72,4.666666666666667e-05,0.055596224963665,0.0,449,3,4.666666666666667e-05,100000
420,740,189069,0.05,256.0,47242,-14.644,4.666666666666667e-05,0.0263079535216093,0.0,449,3,4.666666666666667e-05,100000
422,744,190093,0.05,256.0,47498,-14.714,4.666666666666667e-05,0.0292585492134094,0.0,449,3,4.666666666666667e-05,100000
425,748,191117,0.05,256.0,47754,-14.788,4.666666666666667e-05,0.024907661601901,0.0,449,3,4.666666666666667e-05,100000
427,752,192141,0.05,256.0,48010,-14.932000000000002,4.666666666666667e-05,0.0022227829322218,0.0,449,3,4.666666666666667e-05,100000
430,756,193165,0.05,256.0,48266,-15.26,4.666666666666667e-05,0.0880954712629318,0.0,449,3,4.666666666666667e-05,100000
432,760,194189,0.05,256.0,48522,-15.194,4.666666666666667e-05,0.0040858308784663,0.0,448,3,4.666666666666667e-05,100000
434,764,195213,0.05,256.0,48778,-15.576,4.666666666666667e-05,0.0079630836844444,0.0,448,3,4.666666666666667e-05,100000
437,768,196237,0.05,256.0,49034,-15.54,4.666666666666667e-05,0.0308078397065401,0.0,448,3,4.666666666666667e-05,100000
439,772,197261,0.05,256.0,49290,-15.28,4.666666666666667e-05,0.0013559705112129,0.0,448,3,4.666666666666667e-05,100000
442,776,198285,0.05,256.0,49546,-15.255999999999998,4.666666666666667e-05,0.0272900257259607,0.0,448,3,4.666666666666667e-05,100000
444,780,199309,0.05,256.0,49802,-15.442,4.666666666666667e-05,0.029333533719182,0.0,448,3,4.666666666666667e-05,100000
447,784,200333,0.05,256.0,50058,-15.252,4.666666666666667e-05,0.0312901362776756,0.0,447,3,4.666666666666667e-05,100000
449,788,201357,0.05,256.0,50314,-15.422,4.666666666666667e-05,0.0298391338437795,0.0,447,3,4.666666666666667e-05,100000
452,792,202381,0.05,256.0,50570,-15.376,4.666666666666667e-05,0.0825842320919036,0.0,447,3,4.666666666666667e-05,100000
454,796,203405,0.05,256.0,50826,-15.464,4.666666666666667e-05,0.0281156804412603,0.0,447,3,4.666666666666667e-05,100000
456,800,204429,0.05,256.0,51082,-15.265999999999998,4.666666666666667e-05,0.0586173683404922,0.0,447,3,4.666666666666667e-05,100000
459,804,205453,0.05,256.0,51338,-14.946000000000002,4.666666666666667e-05,0.0032310395035892,0.0,447,3,4.666666666666667e-05,100000
461,808,206477,0.05,256.0,51594,-15.342,4.666666666666667e-05,0.0324872508645057,0.0,447,3,4.666666666666667e-05,100000
464,812,207501,0.05,256.0,51850,-15.367999999999997,4.666666666666667e-05,0.0028080488555133,0.0,446,3,4.666666666666667e-05,100000
466,816,208525,0.05,256.0,52106,-15.259999999999998,4.666666666666667e-05,0.0019827231299132,0.0,446,3,4.666666666666667e-05,100000
469,820,209549,0.05,256.0,52362,-15.264,4.666666666666667e-05,0.0022040165495127,0.0,446,3,4.666666666666667e-05,100000
471,824,210573,0.05,256.0,52618,-15.266000000000002,4.666666666666667e-05,0.0246758498251438,0.0,446,3,4.666666666666667e-05,100000
474,828,211597,0.05,256.0,52874,-15.191999999999998,4.666666666666667e-05,0.0312768071889877,0.0,446,3,4.666666666666667e-05,100000
476,832,212621,0.05,256.0,53130,-15.021999999999998,4.666666666666667e-05,0.0016942617949098,0.0,446,3,4.666666666666667e-05,100000
478,836,213645,0.05,256.0,53386,-14.718,4.666666666666667e-05,0.0014123272849246,0.0,446,3,4.666666666666667e-05,100000
481,840,214669,0.05,256.0,53642,-14.906,4.666666666666667e-05,0.0504265874624252,0.0,445,3,4.666666666666667e-05,100000
483,844,215693,0.05,256.0,53898,-14.651999999999996,4.666666666666667e-05,0.0030993428081274,0.0,445,3,4.666666666666667e-05,100000
486,848,216717,0.05,256.0,54154,-14.852,4.666666666666667e-05,0.0010461541824042,0.0,445,3,4.666666666666667e-05,100000
488,852,217741,0.05,256.0,54410,-14.82,4.666666666666667e-05,0.0556954853236675,0.0,445,3,4.666666666666667e-05,100000
491,856,218765,0.05,256.0,54666,-14.686,4.666666666666667e-05,0.0312126167118549,0.0,445,3,4.666666666666667e-05,100000
493,860,219789,0.05,256.0,54922,-14.58,4.666666666666667e-05,0.0031708709429949,0.0,445,3,4.666666666666667e-05,100000
495,864,220813,0.05,256.0,55178,-14.316,4.666666666666667e-05,0.0050272098742425,0.0,445,3,4.666666666666667e-05,100000
498,868,221837,0.05,256.0,55434,-14.521999999999998,4.666666666666667e-05,0.0059579284861683,0.0,445,3,4.666666666666667e-05,100000
500,872,222861,0.05,256.0,55690,-14.731999999999998,4.666666666666667e-05,0.0320176891982555,0.0,444,3,4.666666666666667e-05,100000
503,876,223885,0.05,256.0,55946,-15.179999999999998,4.666666666666667e-05,0.0579097643494606,0.0,444,3,4.666666666666667e-05,100000
505,880,224909,0.05,256.0,56202,-14.958,4.666666666666667e-05,0.0334834605455398,0.0,444,3,4.666666666666667e-05,100000
508,884,225933,0.05,256.0,56458,-15.539999999999996,4.666666666666667e-05,0.0288219563663005,0.0,444,3,4.666666666666667e-05,100000
510,888,226957,0.05,256.0,56714,-15.664,4.666666666666667e-05,0.0029627492185682,0.0,444,3,4.666666666666667e-05,100000
513,892,227981,0.05,256.0,56970,-15.958,4.666666666666667e-05,0.0027748753782361,0.0,444,3,4.666666666666667e-05,100000
515,896,229005,0.05,256.0,57226,-15.509999999999998,4.666666666666667e-05,0.0021568262018263,0.0,444,3,4.666666666666667e-05,100000
518,900,230029,0.05,256.0,57482,-15.643999999999998,4.666666666666667e-05,0.0314533933997154,0.0,444,3,4.666666666666667e-05,100000
520,904,231053,0.05,256.0,57738,-15.611999999999998,4.666666666666667e-05,0.0027330999728292,0.0,443,3,4.666666666666667e-05,100000
522,908,232077,0.05,256.0,57994,-15.596000000000002,4.666666666666667e-05,0.0034902333281934,0.0,443,3,4.666666666666667e-05,100000
525,912,233101,0.05,256.0,58250,-15.337999999999996,4.666666666666667e-05,0.0055941799655556,0.0,443,3,4.666666666666667e-05,100000
527,916,234125,0.05,256.0,58506,-15.654000000000002,4.666666666666667e-05,0.0517893396317958,0.0,443,3,4.666666666666667e-05,100000
530,920,235149,0.05,256.0,58762,-15.558000000000002,4.666666666666667e-05,0.0022805002517998,0.0,443,3,4.666666666666667e-05,100000
532,924,236173,0.05,256.0,59018,-15.675999999999997,4.666666666666667e-05,0.0081099607050418,0.0,443,3,4.666666666666667e-05,100000
535,928,237197,0.05,256.0,59274,-15.765999999999998,4.666666666666667e-05,0.0043205013498663,0.0,443,3,4.666666666666667e-05,100000
537,932,238221,0.05,256.0,59530,-15.81,4.666666666666667e-05,0.0015535396523773,0.0,443,3,4.666666666666667e-05,100000
540,936,239245,0.05,256.0,59786,-16.078,4.666666666666667e-05,0.0290350094437599,0.0,442,3,4.666666666666667e-05,100000
542,940,240269,0.05,256.0,60042,-15.992,4.666666666666667e-05,0.0354620702564716,0.0,442,3,4.666666666666667e-05,100000
545,944,241293,0.05,256.0,60298,-16.213999999999995,4.666666666666667e-05,0.0305265020579099,0.0,442,3,4.666666666666667e-05,100000
547,948,242317,0.05,256.0,60554,-16.322,4.666666666666667e-05,0.0301287155598402,0.0,442,3,4.666666666666667e-05,100000
549,952,243341,0.05,256.0,60810,-16.312,4.666666666666667e-05,0.0031046769581735,0.0,442,3,4.666666666666667e-05,100000
552,956,244365,0.05,256.0,61066,-16.429999999999996,4.666666666666667e-05,0.0027291707228869,0.0,442,3,4.666666666666667e-05,100000
554,960,245389,0.05,256.0,61322,-16.317999999999998,4.666666666666667e-05,0.0027193133719265,0.0,442,3,4.666666666666667e-05,100000
557,964,246413,0.05,256.0,61578,-16.348000000000003,4.666666666666667e-05,0.0611190721392631,0.0,442,3,4.666666666666667e-05,100000
559,968,247437,0.05,256.0,61834,-16.014,4.666666666666667e-05,0.0284021105617284,0.0,442,3,4.666666666666667e-05,100000
562,972,248461,0.05,256.0,62090,-16.126,4.666666666666667e-05,0.0023559182882308,0.0,441,3,4.666666666666667e-05,100000
564,976,249485,0.05,256.0,62346,-15.854,4.666666666666667e-05,0.0336028225719928,0.0,441,3,4.666666666666667e-05,100000
1,4,1024,0.980544,256.0,230,-202.0,2e-05,0.0265323631465435,0.0,612,4,1.9999999999999998e-05,50000
3,8,2048,0.9610880000000002,256.0,486,-199.125,2e-05,0.0226978622376918,0.0,594,4,1.9999999999999998e-05,50000
5,12,3072,0.941632,256.0,742,-199.36666666666665,2e-05,0.0810651928186416,0.0,585,4,1.9999999999999998e-05,50000
7,16,4096,0.9221760000000002,256.0,998,-199.75,2e-05,0.0238475836813449,0.0,580,4,1.9999999999999998e-05,50000
8,20,5120,0.9027199999999996,256.0,1254,-197.5,2e-05,0.0244884528219699,0.0,577,4,1.9999999999999998e-05,50000
10,24,6144,0.8832639999999998,256.0,1510,-196.975,2e-05,0.048671044409275,0.0,574,4,1.9999999999999998e-05,50000
12,28,7168,0.8638079999999999,256.0,1766,-195.92142857142855,2e-05,0.017032952979207,0.0,573,4,1.9999999999999998e-05,50000
14,32,8192,0.8443519999999999,256.0,2022,-193.76875,2e-05,0.0168202258646488,0.0,571,4,1.9999999999999998e-05,50000
16,36,9216,0.824896,256.0,2278,-193.0388888888889,2e-05,0.0602366626262664,0.0,569,4,1.9999999999999998e-05,50000
18,40,10240,0.80544,256.0,2534,-190.28500000000005,2e-05,0.0307973194867372,0.0,567,4,1.9999999999999998e-05,50000
19,44,11264,0.785984,256.0,2790,-188.7318181818182,2e-05,0.0428912974894046,0.0,566,4,1.9999999999999998e-05,50000
21,48,12288,0.7665280000000001,256.0,3046,-186.9375,2e-05,0.0177868176251649,0.0,565,4,1.9999999999999998e-05,50000
23,52,13312,0.7470720000000002,256.0,3302,-185.83461538461535,2e-05,0.0243501514196395,0.0,562,4,1.9999999999999998e-05,50000
25,56,14285,0.7285850000000001,255.08928571428572,3546,-179.52500000000003,2e-05,0.0496957302093505,0.0357142857142857,551,4,1.9999999999999998e-05,50000
27,60,15309,0.7091290000000002,255.15,3802,-178.71000000000004,2e-05,0.0768823027610778,0.0333333333333333,549,4,1.9999999999999998e-05,50000
