time/total_timesteps,train/value_loss,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/loss,phase
196608,0.6841533841914498,950.0,-1.979060471057892e-09,-0.0001547304107589,0.6593313217163086,1
198656,0.07386950134387,960.0,4.668254405260086e-09,-0.0001571251475979,0.1009533554315567,1
200704,0.1846331437904154,970.0,-4.423782229423523e-09,-0.0001560944730954,0.0832447558641433,1
202752,0.4813816326204687,980.0,-0.0005487632530275,-0.0001182129549306,0.0482936091721057,1
204800,0.1948524847568478,990.0,-1.327134668827057e-09,-9.820619752645144e-05,0.0824153795838356,1
206848,0.2301385876809945,1000.0,3.608874976634979e-10,-9.673576805653284e-05,0.0018053994281217,1
208896,0.036871247041563,1010.0,-1.335865817964077e-09,-9.99323017822462e-05,0.0048795603215694,1
210944,0.0563808944803895,1020.0,7.159542292356492e-10,-9.9059062449669e-05,0.0511165261268615,1
212992,0.1514611210906878,1030.0,1.327134668827057e-09,-9.796450785870547e-05,0.0670645236968994,1
215040,0.0284385041944915,1040.0,-9.42964106798172e-10,-9.720946418383392e-05,0.0024842203129082,1
217088,0.0727924235892714,1050.0,7.217749953269959e-10,-9.940734225892811e-05,0.0099181560799479,1
219136,0.0742647208156995,1060.0,1.4319084584712983e-09,-0.0001030247852213,0.0082761570811271,1
221184,0.0415482017313479,1070.0,-2.3533357307314873e-08,-9.788473189473736e-05,0.001099225715734,1
223232,0.7748120118165389,1080.0,-1.0244548320770262e-09,-9.724481988087064e-05,0.1680904328823089,1
225280,0.5607635979889892,1090.0,-0.0001637787674553,-8.4867292571289e-05,0.0097389826551079,1
227328,0.0491447139454976,1100.0,4.2637111619114876e-09,-7.310352057174896e-05,0.0008566483738832,1
229376,0.5909629318222869,1110.0,3.585591912269592e-09,-7.174939282776905e-05,0.1850222945213318,1
231424,0.006487043906236,1120.0,2.8987415134906767e-09,-7.218967748485738e-05,0.0022661993280053,1
233472,0.0298348301235819,1130.0,1.0128132998943328e-09,-7.230146875372156e-05,0.0076763904653489,1
235520,0.1396463254932314,1140.0,-2.759043127298355e-09,-7.24387218724587e-05,0.0709447339177131,1
237568,0.0060065375868362,1150.0,5.617039278149605e-10,-7.295388459169772e-05,0.0016740900464355,1
239616,0.180139622092247,1160.0,2.6775524020195005e-10,-7.249192540257355e-05,0.0011957532260566,1
241664,0.0021822626302309,1170.0,-1.2165401130914687e-09,-7.23954970453633e-05,0.0009772310731932,1
243712,0.1702614410343813,1180.0,0.0,-7.28496837837156e-05,0.0747875794768333,1
245760,0.0083501276936658,1190.0,-7.39237293601036e-10,-7.320114973481395e-05,0.0004155465285293,1
247808,0.001180537423761,1200.0,-8.789356797933577e-10,-7.324106882151682e-05,0.0007605099235661,1
