time/total_timesteps,train/loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/entropy_loss,phase
448512,0.0254462081938982,8.905772119760513e-10,0.0235644817290449,2180.0,-5.231724071563803e-05,1
450560,0.0018216242315247,-2.671731635928154e-09,0.0296849000718793,2190.0,-5.527299585992296e-05,1
452608,0.0435083173215389,2.680462785065174e-09,0.0493176604824839,2200.0,-5.264283818178229e-05,1
454656,0.0087905908003449,3.859167918562889e-09,0.019765043654479,2210.0,-5.4734911736886714e-05,1
456704,0.0033096545375883,-3.185850800946355e-08,0.0171119928534608,2220.0,-5.446365425996191e-05,1
458752,0.0035423412919044,2.3224856704473495e-09,0.0191508046520539,2230.0,-5.400470677159319e-05,1
460800,0.0009017186821438,-6.111804395914078e-10,0.05074730248798,2240.0,-5.38405857696489e-05,1
462848,0.0046233567409217,6.170012056827544e-10,0.0121412578650051,2250.0,-5.647738394145563e-05,1
464896,0.0579157099127769,6.453774403780698e-10,0.0591151083950535,2260.0,-5.462508420350787e-05,1
466944,0.0044724731706082,-1.408625394105911e-09,0.0114278555753116,2270.0,-5.577938118221937e-05,1
468992,0.031576719135046,-1.6530975699424743e-09,0.094122936570784,2280.0,-5.623724659926665e-05,1
471040,0.0384442433714866,2.2293534129858015e-09,0.0652521048123162,2290.0,-5.540105507861881e-05,1
473088,0.0004346196656115,6.635673344135285e-10,0.0343008778239891,2300.0,-5.530126682060654e-05,1
475136,0.0716851502656936,9.313225746154783e-10,0.1044528596568852,2310.0,-5.5439322022721174e-05,1
477184,0.0661659315228462,1.3737007975578307e-09,0.0696855717280413,2320.0,-5.915521742281271e-05,1
479232,0.062440488487482,5.355104804039e-10,0.1196448115224484,2330.0,-5.709663132620335e-05,1
481280,0.0055996188893914,-1.4799297787249087e-09,0.0234374244035279,2340.0,-5.707953332603211e-05,1
483328,0.0105397924780845,-2.139131538569927e-09,0.0311180035372672,2350.0,-5.900067021684663e-05,1
485376,0.0399126596748828,2.2700987756252286e-10,0.211737606220413,2360.0,-5.802249565931561e-05,1
487424,0.0361008867621421,4.700268618762493e-09,0.0510370173957198,2370.0,-5.856619068254076e-05,1
489472,0.0457280576229095,-2.0954757928848267e-10,0.0500511332647874,2380.0,-5.881383212908986e-05,1
491520,0.1248028352856636,-2.1012965589761735e-09,0.1404111810028553,2390.0,-5.9422850517876215e-05,1
493568,0.0088451728224754,1.596636138856411e-08,0.0339924078580224,2400.0,-5.895163567402051e-05,1
495616,0.0138306794688105,2.9103830456733704e-10,0.0271769064420368,2410.0,-6.019339748490893e-05,1
497664,0.0491951294243335,-1.695298124104738e-09,0.0349543369527964,2420.0,-5.9154407654204985e-05,1
499712,0.1186361610889434,-1.367880031466484e-09,0.1615858611883595,2430.0,-6.016506440573721e-05,1
501760,0.0179635230451822,-6.766640581190587e-11,0.1339788937359117,2440.0,-5.9659028283931545e-05,1
503808,0.0307544637471437,-5.413312464952468e-10,0.1179495952441357,2450.0,-6.105848297011107e-05,1
505856,0.0362750627100467,6.431946530938149e-10,0.0618644718175346,2460.0,-5.996742443130643e-05,1
507904,0.0021793346386402,-1.7869751900434492e-09,0.0250238511573115,2470.0,-6.08596576967102e-05,1
509952,0.0010588393779471,1.0360963642597199e-09,0.0165035639001871,2480.0,-6.238738360480056e-05,1
512000,0.0099410517141222,-2.3283064365386964e-11,0.016749267742125,2490.0,-6.137595601103385e-05,1
514048,0.0038962340913712,5.061156116425991e-09,0.0095444665476406,2500.0,-6.312294599410961e-05,1
516096,0.0171600021421909,1.3329554349184035e-09,0.0884882205922622,2510.0,-6.466607392212609e-05,1
518144,0.022340839728713,-3.399327397346496e-09,0.0506466422142693,2520.0,-6.327512292045868e-05,1
520192,0.0019098287448287,-1.7089769244194032e-08,0.0211484011291759,2530.0,-6.772733959223843e-05,1
522240,0.0146989868953824,-2.5902409106492997e-10,0.0332959109005969,2540.0,-6.517054353025742e-05,1
524288,1.3222651432442944e-05,-5.829497240483761e-09,0.0077615637098006,2550.0,-6.722237685607979e-05,1
526336,0.0071955118328332,-2.5262124836444854e-09,0.0212483544994029,2560.0,-6.768858620489481e-05,1
528384,0.0149622615426778,7.112976163625717e-09,0.0134319433136624,2570.0,-6.86297707943595e-05,1
530432,0.0130939995869994,5.733454599976538e-10,0.014954738189499,2580.0,-7.047215476632118e-05,1
532480,0.0142727904021739,2.0372681319713588e-11,0.0290007809686358,2590.0,-6.907600209160591e-05,1
534528,0.0322032868862152,3.5506673157215116e-10,0.0538784300442785,2600.0,-7.140724865166704e-05,1
536576,0.0004388196102809,-2.712476998567581e-09,0.0135460364697792,2610.0,-7.222381427709478e-05,1
538624,0.0399558506906032,-7.566995918750763e-11,0.0219190463454651,2620.0,-7.229788698168705e-05,1
540672,0.0036901794373989,1.8044374883174894e-10,0.015310087571197,2630.0,-7.33488204787136e-05,1
542720,0.0017079146346077,4.189496394246816e-09,0.0296066950653767,2640.0,-7.424189270750503e-05,1
544768,0.0022348780184984,-1.8218997865915299e-09,0.0081534573275348,2650.0,-7.450901248375885e-05,1
546816,0.0004224046133458,-5.7683791965246206e-09,0.0153234989575139,2660.0,-7.631721600773745e-05,1
548864,0.0289701204746961,1.3158569345250723e-09,0.0637504539990914,2670.0,-7.675279321119887e-05,1
550912,0.0024410081095993,3.0035153031349183e-09,0.0118756930627569,2680.0,-7.848381237636204e-05,1
552960,0.0110816732048988,-5.826586857438087e-09,0.0102906952628472,2690.0,-8.19698944724223e-05,1
555008,0.0383939929306507,0.0,0.0588876425899798,2700.0,-8.248352851296659e-05,1
557056,0.0148981604725122,3.2887328416109087e-10,0.0574487062229309,2710.0,-8.308478618346271e-05,1
559104,0.0046027735807001,-9.458744898438454e-10,0.058126528984576,2720.0,-8.479267735310714e-05,1
561152,0.005881835706532,2.019805833697319e-09,0.0150027112673342,2730.0,-8.315556233355892e-05,1
563200,0.0243293978273868,-6.83940015733242e-09,0.0313351901240821,2740.0,-8.527026011506678e-05,1
565248,0.0870124995708465,3.8417056202888487e-10,0.0492706115373948,2750.0,-8.614165544713614e-05,1
567296,0.0057694409042596,-6.984919309616089e-10,0.013689704101489,2760.0,-8.580740313846036e-05,1
569344,0.0159732978790998,-2.2700987756252286e-10,0.1593622033600695,2770.0,-8.703892481207732e-05,1
571392,0.0013568480499088,-2.019805833697319e-09,0.0147336204157909,2780.0,-9.044471989909652e-05,1
573440,0.0026566726155579,-2.6577617973089223e-08,0.0015723172394018,2790.0,-9.16599434276577e-05,1
575488,0.0100626004859805,-1.3300450518727303e-09,0.0121429879232891,2800.0,-9.360974245282705e-05,1
577536,0.0008241406758315,3.1644594855606555e-08,0.0107914528485707,2810.0,-9.839567219387392e-05,1
579584,0.0079130511730909,1.699663698673248e-09,0.0312313908041687,2820.0,-0.0001008788590297,1
581632,0.0111165028065443,-1.565786078572273e-09,0.0355832453657058,2830.0,-0.0001038576076098,1
583680,0.0337732806801795,1.0913936421275139e-10,0.069958087199484,2840.0,-0.0001048502444064,1
585728,0.0047919955104589,-9.022187441587447e-10,0.0326633602724541,2850.0,-0.0001037058221299,1
587776,0.0263777133077383,-5.566107574850321e-10,0.0556159737810958,2860.0,-0.0001045209581207,1
