time/fps,rollout/ep_len_mean,rollout/success_rate,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/loss,train/clip_range,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/clip_fraction,phase,phase_learning_rate_start,phase_learning_rate_end
239,256.0,0.0,178,364544,1524,-3.18,-7.152996640797937e-05,0.0984082974420744,0.008155345916748,0.2,0.0002093759999999,1770.0,-1.4470424503087995e-08,-2.910383e-11,0.0494329333305358,0.0,1,0.0003,5e-05
239,256.0,0.0,179,366592,1533,-3.36,-6.530514619953464e-05,0.4399186464841477,0.3194608390331268,0.2,0.0002088639999999,1780.0,-1.327134668827057e-09,0.0,0.0449809432029724,0.0,1,0.0003,5e-05
239,256.0,0.0,180,368640,1542,-3.28,-6.322847752926464e-05,0.1166973783794674,0.0044241501018404,0.2,0.0002083519999999,1790.0,1.0884832590818403e-09,0.0,0.2827838659286499,0.0,1,0.0003,5e-05
238,256.0,0.0,181,370688,1551,-2.98,-5.7072738172792015e-05,0.0157817968321978,0.0155822774395346,0.2,0.0002078399999999,1800.0,-1.4711986295878889e-08,0.0,-0.0184975862503051,0.0,1,0.0003,5e-05
238,256.0,0.0,182,372736,1560,-2.96,-6.177456193654507e-05,0.0039591253067555,0.0020007968414574,0.2,0.0002073279999999,1810.0,-1.0937219485640526e-08,0.0,0.7950793504714966,0.0,1,0.0003,5e-05
238,256.0,0.0,183,374784,1568,-2.84,-5.809635908917699e-05,0.1165355400902626,0.0004903355729766,0.2,0.0002068159999999,1820.0,7.505877874791622e-09,0.0,0.0185621380805969,0.0,1,0.0003,5e-05
238,256.0,0.0,184,376832,1577,-2.76,-6.362028552757693e-05,0.0748828363924985,0.0195083357393741,0.2,0.0002063039999999,1830.0,1.664739102125168e-09,0.0,0.024960458278656,0.0,1,0.0003,5e-05
238,256.0,0.0,185,378880,1587,-2.64,-6.534755975735606e-05,0.0572057669429341,0.0022824250627309,0.2,0.0002057919999999,1840.0,-2.2843596525490283e-08,-1.1641532e-10,0.504183292388916,0.0,1,0.0003,5e-05
238,256.0,0.0,186,380928,1595,-2.8,-5.802350469821249e-05,0.0365289144534472,0.0190025810152292,0.2,0.0002052799999999,1850.0,9.778887033462523e-10,0.0,0.0206141471862792,0.0,1,0.0003,5e-05
238,256.0,0.0,187,382976,1604,-2.66,-5.82549668251886e-05,0.3562261803657748,0.00717841880396,0.2,0.0002047679999999,1860.0,-2.310844138264656e-09,0.0,-0.0071911811828613,0.0,1,0.0003,5e-05
238,256.0,0.0,188,385024,1613,-2.58,-6.750536722393008e-05,0.0467750186347984,0.0261105801910161,0.2,0.0002042559999999,1870.0,-3.387685865163803e-09,0.0,0.1676365733146667,0.0,1,0.0003,5e-05
238,256.0,0.0,189,387072,1622,-2.6,-5.9126021324118486e-05,0.0399811495470203,0.0247169975191354,0.2,0.0002037439999999,1880.0,-1.327134668827057e-09,0.0,0.2142022252082824,0.0,1,0.0003,5e-05
238,256.0,0.0,190,389120,1631,-2.66,-5.933203306085488e-05,0.1231920449950848,0.0093090152367949,0.2,0.0002032319999999,1890.0,2.0256265997886656e-09,0.0,0.061112642288208,0.0,1,0.0003,5e-05
238,256.0,0.0,191,391168,1640,-2.42,-5.993264276185073e-05,0.0964418960589682,0.0075857220217585,0.2,0.0002027199999999,1900.0,-2.852175384759903e-09,0.0,0.4671522378921509,0.0,1,0.0003,5e-05
238,256.0,0.0,192,393216,1648,-2.62,-6.088801851547032e-05,0.0479651889727392,0.0168077982962131,0.2,0.0002022079999999,1910.0,4.016328603029251e-10,0.0,0.4866346716880798,0.0,1,0.0003,5e-05
238,256.0,0.0,193,395264,1657,-2.74,-6.208956601767568e-05,0.2449687289539724,0.1528818607330322,0.2,0.0002016959999999,1920.0,-2.176966518163681e-09,0.0,0.1062895059585571,0.0,1,0.0003,5e-05
238,256.0,0.0,194,397312,1667,-2.84,-6.21289052105567e-05,0.0869533315300941,0.0093268817290663,0.2,0.0002011839999999,1930.0,-6.170012056827545e-09,0.0,0.3641180992126465,0.0,1,0.0003,5e-05
237,256.0,0.0,195,399360,1678,-2.84,-7.37123444196186e-05,0.1388848987757228,0.002925501903519,0.2,0.0002006719999999,1940.0,-3.201421350240707e-10,0.0,0.1336396336555481,0.0,1,0.0003,5e-05
237,256.0,0.0,196,401408,1687,-2.84,-6.818380652475752e-05,0.04754759100324,0.0547144226729869,0.2,0.0002001599999999,1950.0,-2.4592736735939983e-08,-5.7625584e-09,0.2625679969787597,0.0,1,0.0003,5e-05
237,256.0,0.0,197,403456,1696,-2.92,-6.773425229766872e-05,0.0974279052054043,0.0096874833106994,0.2,0.0001996479999999,1960.0,-2.4389009922742843e-09,0.0,0.047279417514801,0.0,1,0.0003,5e-05
237,256.0,0.0,198,405504,1705,-2.94,-6.8198843018763e-05,0.2869333059992641,0.1055215746164321,0.2,0.0001991359999999,1970.0,-1.204898580908775e-09,0.0,0.0775596499443054,0.0,1,0.0003,5e-05
237,256.0,0.0,199,407552,1714,-2.9,-7.587637828692096e-05,0.0718955142598133,0.0550186336040496,0.2,0.0001986239999999,1980.0,-1.3475073501467705e-08,0.0,0.2153632640838623,0.0,1,0.0003,5e-05
237,256.0,0.0,200,409600,1723,-2.92,-7.061737860567519e-05,0.0937429956160485,0.0144574902951717,0.2,0.0001981119999999,1990.0,-7.799826562404633e-09,0.0,0.2190449237823486,0.0,1,0.0003,5e-05
237,256.0,0.0,201,411648,1733,-2.86,-8.084457604127238e-05,0.0614559714740607,0.06647789478302,0.2,0.0001975999999999,2000.0,1.1996598914265632e-08,0.0,0.0894162058830261,0.0,1,0.0003,5e-05
237,256.0,0.0,202,413696,1742,-2.9,-7.471287208318244e-05,0.0949368134617543,0.005092813167721,0.2,0.0001970879999999,2010.0,1.1059455573558807e-09,0.0,0.1209473013877868,0.0,1,0.0003,5e-05
237,256.0,0.0,203,415744,1750,-3.1,-7.590544555569068e-05,0.2239280517678707,0.2419900000095367,0.2,0.0001965759999999,2020.0,5.203764885663986e-09,0.0,0.0513573288917541,0.0,1,0.0003,5e-05
237,256.0,0.0,204,417792,1760,-3.02,-7.819096754246857e-05,0.2374174049880821,0.0609813816845417,0.2,0.0001960639999999,2030.0,-2.6833731681108476e-09,0.0,0.0213921666145324,0.0,1,0.0003,5e-05
237,256.0,0.0,205,419840,1769,-2.94,-7.832382652850356e-05,0.1372501383186318,0.0235217548906803,0.2,0.000195552,2040.0,-6.705522537231445e-09,0.0,0.0352153182029724,0.0,1,0.0003,5e-05
237,256.0,0.0,206,421888,1778,-2.86,-8.970119142759359e-05,0.1109153380544739,0.0684945508837699,0.2,0.0001950399999999,2050.0,-2.0174775272607805e-08,0.0,0.1720967292785644,0.0,1,0.0003,5e-05
