time/total_timesteps,time/time_elapsed,rollout/success_rate,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/learning_rate,train/policy_gradient_loss,phase,phase_learning_rate_start,phase_learning_rate_end
737280,3005,0.0,360,-0.6259999999999999,245,256.0,0.0,-0.0001535600784336,3590.0,0.60518479347229,0.2,0.0,0.0495190752306371,0.0002263662609038,0.0001161919999999,-3.0911178328096864e-08,1,0.0003,5e-05
739328,3013,0.0,361,-0.6940000000000001,245,256.0,0.0,-0.0001517062357379,3600.0,0.9534263014793396,0.2,0.0,0.0065434900257969,0.0008391941082663,0.0001156799999999,8.556526154279707e-10,1,0.0003,5e-05
741376,3021,0.0,362,-0.6460000000000002,245,256.0,0.0,-0.0001559383586936,3610.0,0.3701013922691345,0.2,0.0,0.0312551039183745,0.0009754378115758,0.0001151679999999,7.654307410120964e-09,1,0.0003,5e-05
743424,3030,0.0,363,-0.61,245,256.0,0.0,-0.0001565290916914,3620.0,0.8183522820472717,0.2,0.0,0.0085136743633484,0.0003701025852933,0.0001146559999999,4.1956081986427304e-08,1,0.0003,5e-05
745472,3038,0.0,364,-0.7460000000000001,245,256.0,0.0,-0.0001611282083104,3630.0,0.2696836590766907,0.2,0.0,0.024738326554052,0.0003590846899896,0.000114144,1.9717845134437084e-08,1,0.0003,5e-05
747520,3047,0.0,365,-0.7979999999999999,245,256.0,0.0,-0.0001588308361533,3640.0,0.465257465839386,0.2,0.0,0.2789201653242344,0.0008575384854339,0.0001136319999999,-2.5820918381214143e-08,1,0.0003,5e-05
749568,3055,0.0,366,-0.94,245,256.0,0.0,-0.0001625269762371,3650.0,0.1660811901092529,0.2,0.0,0.1219707789729,0.0006155319861136,0.00011312,-1.57160684466362e-10,1,0.0003,5e-05
751616,3063,0.0,367,-1.1900000000000002,245,256.0,0.0,-0.0001666033580477,3660.0,0.1718924045562744,0.2,0.0,0.1540410593202978,0.2482935041189193,0.0001126079999999,6.461050361394882e-09,1,0.0003,5e-05
753664,3072,0.0,368,-1.1139999999999997,245,256.0,0.0,-0.0001631752402317,3670.0,0.3515879511833191,0.2,0.0,0.1358813698716403,0.0046903425827622,0.000112096,-2.735760062932968e-09,1,0.0003,5e-05
755712,3080,0.0,369,-1.094,245,256.0,0.0,-0.0001608244185263,3680.0,0.8627235293388367,0.2,0.0,0.0915148240455892,0.0003995769657194,0.000111584,-9.202631190419197e-09,1,0.0003,5e-05
757760,3088,0.0,370,-0.908,245,256.0,0.0,-0.0001646741315198,3690.0,0.6489344239234924,0.2,0.0,0.0633752677858865,0.1079808697104454,0.0001110719999999,-9.039649739861487e-09,1,0.0003,5e-05
759808,3096,0.0,371,-0.988,245,256.0,0.0,-0.0001685749002717,3700.0,0.5312879085540771,0.2,0.0,0.0221670062339399,0.069870501756668,0.00011056,-1.4924444258213042e-08,1,0.0003,5e-05
