time/total_timesteps,train/entropy_loss,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,phase
294912,-4.803338351848652e-05,0.1922837390971835,0.0425617061555385,1430.0,-2.4447217583656307e-10,1
296960,-4.7779464557606845e-05,0.079765168508311,0.0138954883441329,1440.0,-1.0360963642597199e-09,1
299008,-4.7748286078785895e-05,0.0265439079583302,0.0213647857308387,1450.0,-5.527399480342866e-08,1
301056,-4.807007831004739e-05,0.0903451994483475,0.0329208448529243,1460.0,-4.231696948409081e-09,1
303104,-4.812240545106761e-05,0.1045993787702173,0.0456320755183696,1470.0,-1.6880221664905548e-10,1
305152,-5.130758686391346e-05,0.0260667717374417,0.0003038112772628,1480.0,-9.400537237524983e-10,1
307200,-4.995534732188389e-05,0.0427024850900124,0.0039399834349751,1490.0,3.1606759876012805e-09,1
309248,-4.880891865468584e-05,0.0581884772262128,0.0454459153115749,1500.0,3.7252902984619143e-10,1
311296,-4.8562306710664414e-05,0.1201058040140196,0.1050234884023666,1510.0,3.2421667128801343e-09,1
313344,-4.770225409629347e-05,0.2144659420358948,0.1370803862810135,1520.0,2.2118911147117615e-09,1
315392,-4.951944165441091e-05,0.0382084940571076,0.0001807639055186,1530.0,2.4447217583656307e-10,1
317440,-5.006307005714916e-05,0.3708273345488123,0.4668526947498321,1540.0,-3.498280420899391e-09,1
319488,-4.933586023980752e-05,0.0643537644013122,0.0021711271256208,1550.0,1.5064142644405366e-08,1
321536,-4.9300372120342216e-05,0.0107796259998394,8.554821397410706e-05,1560.0,-1.0835356079041958e-08,1
323584,-4.9723827078196334e-05,0.0560352246131515,0.0667181387543678,1570.0,4.458706825971603e-09,1
325632,-4.985272389603779e-05,0.1084548436512704,0.014433043077588,1580.0,5.355104804039e-10,1
327680,-4.968221564922714e-05,0.0220556061341085,0.0038935984484851,1590.0,8.469214662909508e-09,1
329728,-4.981679685442941e-05,0.2431709409254835,0.0091946376487612,1600.0,1.601874828338623e-08,1
331776,-4.975426263627014e-05,0.1158091767458245,0.1103072762489318,1610.0,1.1950032785534861e-08,1
333824,-5.0738904474201266e-05,0.0247009088277991,0.0042123682796955,1620.0,-7.072230800986291e-09,1
335872,-5.096391837469128e-05,0.0618859581698416,0.0026094648055732,1630.0,-1.7578713595867155e-09,1
337920,-5.124226681800792e-05,0.0510296558917616,0.0093118725344538,1640.0,1.391163095831871e-09,1
339968,-5.139939044056519e-05,0.0149992597251184,0.0009147570235654,1650.0,1.1231168173253536e-08,1
342016,-5.154461596248439e-05,0.0302160234603434,0.0107772555202245,1660.0,9.83709469437599e-10,1
344064,-5.125765615048295e-05,0.0427823580102995,0.002517519518733,1670.0,-1.0925577953457832e-08,1
346112,-5.164503663763753e-05,0.3278257511090487,0.0438753589987754,1680.0,-1.204898580908775e-09,1
348160,-5.1635670934047086e-05,0.1692765666070045,0.0283663664013147,1690.0,-8.149072527885436e-10,1
350208,-5.155524822839652e-05,0.1130491857649758,0.1413534879684448,1700.0,-1.3154931366443635e-09,1
