time/episodes,time/total_timesteps,rollout/success_rate,rollout/exploration_rate,train/learning_rate,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,rollout/ep_len_mean,time/fps,train/loss,phase,phase_learning_rate,phase_buffer_size
788,201582,0.0,0.05,0.0001,-16.792,50370,432,256.0,465,0.0138674536719918,1,0.0001,200000
792,202606,0.0,0.05,0.0001,-16.97,50626,434,256.0,465,0.0113343186676502,1,0.0001,200000
796,203630,0.0,0.05,0.0001,-17.186,50882,437,256.0,465,0.0324772074818611,1,0.0001,200000
800,204654,0.0,0.05,0.0001,-17.324,51138,439,256.0,465,0.0433847792446613,1,0.0001,200000
804,205678,0.0,0.05,0.0001,-16.756,51394,441,256.0,465,0.0066767586395144,1,0.0001,200000
808,206702,0.0,0.05,0.0001,-16.764,51650,444,256.0,465,0.0140505451709032,1,0.0001,200000
812,207726,0.0,0.05,0.0001,-16.446,51906,446,256.0,465,0.0067955143749713,1,0.0001,200000
816,208750,0.0,0.05,0.0001,-16.778000000000002,52162,448,256.0,465,0.0090313116088509,1,0.0001,200000
820,209774,0.0,0.05,0.0001,-16.324,52418,451,256.0,464,0.0473983474075794,1,0.0001,200000
824,210798,0.0,0.05,0.0001,-16.439999999999998,52674,453,256.0,464,0.0100080361589789,1,0.0001,200000
828,211822,0.0,0.05,0.0001,-16.512,52930,455,256.0,464,0.0076246815733611,1,0.0001,200000
832,212846,0.0,0.05,0.0001,-16.326,53186,458,256.0,464,0.0626746341586113,1,0.0001,200000
836,213870,0.0,0.05,0.0001,-16.096,53442,460,256.0,464,0.0261513628065586,1,0.0001,200000
840,214894,0.0,0.05,0.0001,-16.163999999999998,53698,462,256.0,464,0.0138123743236064,1,0.0001,200000
844,215918,0.0,0.05,0.0001,-16.632,53954,465,256.0,464,0.0364316217601299,1,0.0001,200000
848,216942,0.0,0.05,0.0001,-16.694000000000003,54210,467,256.0,464,0.0706339851021766,1,0.0001,200000
852,217966,0.0,0.05,0.0001,-16.95,54466,469,256.0,463,0.0460470393300056,1,0.0001,200000
856,218990,0.0,0.05,0.0001,-16.691999999999997,54722,472,256.0,463,0.0091254543513059,1,0.0001,200000
860,220014,0.0,0.05,0.0001,-16.668,54978,474,256.0,463,0.053568560630083,1,0.0001,200000
864,221038,0.0,0.05,0.0001,-16.464000000000002,55234,476,256.0,463,0.0364495925605297,1,0.0001,200000
868,222062,0.0,0.05,0.0001,-16.667999999999996,55490,479,256.0,463,0.0036303016822785,1,0.0001,200000
872,223086,0.0,0.05,0.0001,-16.667999999999996,55746,481,256.0,463,0.0046346019953489,1,0.0001,200000
876,224110,0.0,0.05,0.0001,-16.766,56002,483,256.0,463,0.0044344449415802,1,0.0001,200000
880,225134,0.0,0.05,0.0001,-16.546,56258,486,256.0,463,0.0297906100749969,1,0.0001,200000
884,226158,0.0,0.05,0.0001,-16.77,56514,488,256.0,463,0.0033563843462616,1,0.0001,200000
888,227182,0.0,0.05,0.0001,-16.918,56770,490,256.0,463,0.002212445018813,1,0.0001,200000
892,228193,0.01,0.05,0.0001,-16.266000000000002,57023,492,255.87,462,0.0946801826357841,1,0.0001,200000
896,229217,0.01,0.05,0.0001,-16.412,57279,495,255.87,462,0.0248223040252923,1,0.0001,200000
900,230241,0.01,0.05,0.0001,-16.504,57535,497,255.87,462,0.0021744039840996,1,0.0001,200000
904,231265,0.01,0.05,0.0001,-17.15,57791,499,255.87,462,0.0028567968402057,1,0.0001,200000
908,232289,0.01,0.05,0.0001,-16.99,58047,502,255.87,462,0.0011043671984225,1,0.0001,200000
912,233313,0.01,0.05,0.0001,-16.96,58303,504,255.87,462,0.0043092379346489,1,0.0001,200000
916,234337,0.01,0.05,0.0001,-16.744,58559,506,255.87,462,0.011994712986052,1,0.0001,200000
920,235361,0.01,0.05,0.0001,-16.846,58815,509,255.87,462,0.0245937835425138,1,0.0001,200000
924,236385,0.01,0.05,0.0001,-16.846,59071,511,255.87,462,0.0338285565376281,1,0.0001,200000
928,237400,0.02,0.05,0.0001,-16.174,59324,513,255.78,462,0.0524574816226959,1,0.0001,200000
932,238424,0.02,0.05,0.0001,-16.026,59580,516,255.78,462,0.0076421699486672,1,0.0001,200000
936,239448,0.02,0.05,0.0001,-16.258,59836,518,255.78,461,0.0350567772984504,1,0.0001,200000
940,240472,0.02,0.05,0.0001,-15.949999999999998,60092,520,255.78,461,0.0021242704242467,1,0.0001,200000
944,241496,0.02,0.05,0.0001,-15.73,60348,522,255.78,461,0.0022967169061303,1,0.0001,200000
948,242520,0.02,0.05,0.0001,-15.881999999999998,60604,525,255.78,461,0.0014943621354177,1,0.0001,200000
952,243544,0.02,0.05,0.0001,-15.714000000000004,60860,527,255.78,461,0.0303316302597522,1,0.0001,200000
956,244568,0.02,0.05,0.0001,-15.696000000000002,61116,530,255.78,461,0.0400884114205837,1,0.0001,200000
960,245592,0.02,0.05,0.0001,-15.77,61372,532,255.78,461,0.0260014440864324,1,0.0001,200000
964,246616,0.02,0.05,0.0001,-15.866000000000003,61628,534,255.78,461,0.0030977574642747,1,0.0001,200000
968,247640,0.02,0.05,0.0001,-15.722000000000005,61884,536,255.78,461,0.0403203517198562,1,0.0001,200000
972,248664,0.02,0.05,0.0001,-15.907999999999998,62140,539,255.78,461,0.0026591881178319,1,0.0001,200000
976,249688,0.02,0.05,0.0001,-15.32,62396,541,255.78,461,0.0062205293215811,1,0.0001,200000
